card_1,card_2,result
20760,7761,45
6344,9494,74
10827,23615,76
6777,22196,32
12473,31595,70
10244,17004,62
21347,9500,77
20632,2755,50
14650,4251,82
21100,33262,85
22700,24952,52
4223,15845,77
37639,15248,86
18958,26294,28
9169,11518,37
10833,37024,55
7920,15157,84
17435,19900,54
9251,15216,68
10759,29383,28
34803,27136,32
8322,34723,50
17689,19956,54
23391,32513,60
3260,29566,24
32544,12818,47
27018,33415,50
32606,7744,51
7099,1968,51
2587,13161,87
30517,13797,35
20756,37886,47
12367,27087,51
6401,6834,54
24382,28619,59
24207,3336,49
8016,13172,82
28793,226,36
20501,30313,24
32376,9038,35
28508,22730,79
32528,9034,35
28592,36047,51
13054,9375,66
26387,27124,27
23604,10206,103
28830,14705,72
37667,5673,64
38484,17706,31
5712,23440,71
33439,14620,77
388,12168,42
17280,4191,66
28945,27329,45
10236,16714,62
15793,18302,60
36140,26382,33
5364,30759,37
15906,25866,75
21852,11732,35
33800,1780,53
19092,32642,24
38306,6981,12
16774,5419,30
9295,8321,60
32745,26554,20
26274,18256,35
14656,18950,58
28051,20689,48
25848,20609,40
3853,10789,64
23024,2302,97
33073,5552,54
24498,3867,69
14745,5353,61
11338,30495,32
15135,33913,50
34711,22889,66
24790,28926,33
27858,7052,53
6121,35275,100
12766,25926,77
27765,11598,56
33215,4018,75
5722,14287,61
21951,21271,75
2510,5725,67
3391,15416,61
25990,8291,71
29636,35518,57
25634,19877,66
28215,6217,93
5583,21374,69
33180,31579,69
34069,902,41
6198,32464,55
21051,24401,79
3324,34811,37
13924,25662,51
2496,26618,60
1155,28089,78
32272,6383,55
888,32257,40
24987,16873,14
27934,37165,77
15062,3130,61
26758,5398,31
28631,876,62
11322,6851,17
3444,1583,64
27783,6391,93
28861,2018,74
37961,32257,53
10580,14390,66
30977,12126,54
25089,27757,49
17341,12982,65
20662,34947,19
26754,13036,51
24790,1702,47
25908,11348,48
1664,3426,64
10132,21404,101
8678,4177,73
16974,2315,59
10164,12483,87
37123,6258,78
4008,14595,82
7797,4828,57
17002,3794,51
16228,2476,85
7521,15991,80
3991,18337,63
34594,34751,34
13623,11394,23
19192,4780,30
13252,3155,59
18481,8560,56
19119,14700,58
7221,6023,54
23291,8295,85
15313,85,47
25639,13021,77
22255,14339,67
7773,38567,48
20692,34746,19
30173,18364,45
37754,12026,81
16880,21865,36
5749,21011,69
28136,30323,68
12930,8345,72
1727,17323,70
36324,7961,64
35288,27859,99
28929,34219,39
2614,28721,78
24378,988,61
30462,19670,50
34635,23331,69
38696,11647,15
1106,35475,85
30275,37094,53
9782,30098,73
29547,30847,22
2667,21841,73
21165,835,82
10169,1841,95
20452,1588,46
4202,27044,55
38520,4067,45
15059,24326,70
13671,18795,29
10786,22805,73
1060,24821,35
27937,30993,64
18069,1069,55
27783,25148,49
15109,11541,51
32427,13831,21
24417,20489,31
15756,31530,71
35310,18155,76
1723,31200,62
409,24165,35
14711,18931,58
20550,4561,16
10996,20575,26
32405,3003,28
13859,19658,41
21339,4237,90
31540,21187,84
21878,15108,66
14749,13087,81
13259,28688,69
23647,16858,63
28823,1933,74
23019,833,81
30841,8678,51
28222,12455,82
261,1185,38
11724,1578,54
31007,38594,23
11746,11518,20
27988,31034,64
5023,25948,52
3804,8636,73
22594,20553,51
19128,17714,42
27438,32439,23
6482,18361,70
32340,8288,41
36087,23318,73
15924,36966,68
26640,1946,56
1756,34944,61
37609,973,77
18184,31025,41
21200,7051,57
17650,20311,28
29357,12876,43
30153,31949,56
30817,24368,47
20693,2003,46
1817,12062,80
16118,3156,57
33305,4222,75
22710,21033,99
31535,6981,41
17306,4536,40
29525,9043,31
38736,3863,45
11435,29653,14
9885,16056,88
16693,2759,59
25076,30432,25
31658,13019,73
28257,10995,70
10753,22921,73
18800,23007,65
24841,19509,31
12940,17600,65
7508,21282,93
21381,15416,91
340,35485,59
3137,16003,57
18278,18879,39
6828,22697,56
6243,11460,57
16930,15908,48
36179,21997,46
3375,12152,56
178,1897,50
28924,27206,45
34186,20684,11
20498,33129,37
17295,7557,69
31832,28784,64
18086,30499,45
8567,32493,41
1698,36906,75
22620,23616,101
14398,4027,82
25167,29351,7
15862,3375,57
25749,26475,50
17410,21161,76
1161,15165,73
15260,9307,68
23684,28221,98
23381,20498,54
7525,28143,89
6089,34184,56
26556,28669,42
37839,28683,75
23319,34689,69
9805,5647,70
30485,34533,39
8670,25171,36
1088,14325,74
28054,3174,66
35628,14293,95
18470,19867,51
28887,20378,32
26572,16577,23
4224,8738,73
35450,10873,77
7711,9281,70
33941,22550,58
5755,10793,43
3266,30372,42
6359,4912,61
22847,37045,80
1993,9350,71
23420,4252,92
28121,2497,94
21258,24343,79
8327,5413,52
38704,16230,42
27488,36330,36
21306,14620,92
7782,34578,60
34161,12958,48
9885,24306,80
11620,28668,40
30235,14683,64
23767,25669,90
7015,12941,46
32562,31891,42
38419,30870,23
27987,17320,72
9436,35701,80
27040,8556,48
26459,30291,34
34608,4117,57
11378,8575,43
4190,18083,63
31186,23729,70
37535,22752,94
32006,26719,46
28513,10674,54
36885,2275,79
23337,24945,55
2471,7513,91
3495,21818,45
11385,4543,24
19108,5630,35
26441,28163,58
32598,3024,28
12166,33162,71
23690,28885,82
11633,37088,41
17607,38764,31
9925,34951,68
37937,9424,72
23004,7017,56
10006,12028,87
19168,30521,38
8677,23464,85
12506,21096,86
3141,32726,28
34836,19891,45
8642,34236,42
27440,38410,20
25813,1847,82
30224,24228,51
22025,18949,41
21274,8760,83
32613,15020,49
31956,35755,87
36493,26252,33
28990,18321,53
34179,27405,24
38491,16694,16
16578,4004,51
33291,32644,43
27939,35566,99
37135,13898,44
1253,13657,45
5014,1555,58
28847,18513,53
13045,3447,59
12095,22979,85
35657,5404,72
19576,16121,65
30065,22523,71
2731,13918,61
12095,28571,66
7580,37095,74
2735,16237,85
37557,18245,68
25738,3496,58
22117,37039,56
23557,25095,55
28169,25836,84
22805,33337,84
37887,1897,89
5757,10604,43
1727,8472,77
407,30823,24
23268,231,58
36203,1108,53
33972,4005,49
8272,9388,60
21432,2616,98
7513,25597,81
30839,33035,53
32451,5501,27
11453,24064,39
25601,2636,86
20770,3763,42
32750,34125,17
16506,9844,62
28189,35443,99
10777,29381,28
24287,30953,47
12877,3805,79
1644,17307,70
36206,12123,57
2593,5661,67
18470,30310,45
29576,36188,25
23384,33222,87
26577,36870,43
25207,13258,42
10957,14345,66
32712,33490,43
23614,38267,57
17519,18171,49
23395,21926,77
6291,21259,97
9991,8715,84
894,37685,77
19894,10542,52
24996,19990,31
28066,164,52
34813,12755,56
27214,24152,44
36524,20336,23
35406,2389,101
25084,10823,27
8503,13696,46
29341,10702,28
21093,7667,93
4178,31886,74
34255,27359,24
9518,9310,54
7599,28023,89
34602,5314,36
14358,27997,88
21887,13249,64
1634,2405,92
17343,13224,65
4086,9397,67
37174,19687,59
24374,21318,79
12831,28645,69
29338,23639,56
8749,21446,83
31564,23273,86
16963,16807,22
17378,22667,75
23478,15983,89
32298,19715,36
16060,12279,73
25811,25842,76
24280,2713,77
4818,37200,45
28942,1250,62
34018,37249,40
12789,34717,56
8299,24389,62
22991,31689,83
236,22824,55
34616,31615,51
16100,29495,41
4125,24380,69
3143,22714,69
2549,16949,59
3300,12319,56
21861,13002,64
35576,10860,77
4815,4124,54
4751,11567,24
31750,200,40
19185,1902,60
15979,28055,83
16651,33886,20
9507,21332,77
34803,4885,31
30362,33959,31
31240,19746,46
19025,25251,19
27157,1247,47
21152,37891,95
20754,30414,24
26631,6322,59
3915,31801,74
35770,1250,85
30064,4525,36
14756,37133,73
34125,22262,34
10511,29309,28
18880,19233,32
25160,23486,55
30059,38325,27
34985,1631,61
15993,16673,48
2303,7124,55
19700,28608,58
27177,36466,36
31588,19901,62
38662,8701,38
24495,15751,66
1828,15172,85
796,30406,54
36463,6090,68
9434,15947,64
33338,3915,75
37902,26489,57
5335,36355,40
2639,30857,66
18335,10807,47
18269,2572,71
26378,22756,61
16855,27499,26
12799,25859,77
38474,19114,21
17593,19572,54
2519,6432,95
10761,28183,70
18037,7989,66
33366,18870,51
37680,18073,68
19570,34858,45
31629,30033,56
14680,6039,89
12075,29333,40
1692,23020,93
23368,3007,72
35604,37668,98
2716,12320,84
24879,38423,8
20755,20425,4
37937,27066,60
34612,33112,52
19971,38500,33
17251,16736,37
34823,5611,36
12858,19775,67
10085,6967,58
28601,4505,44
9754,2561,99
28031,21962,71
25213,9858,54
27916,24346,75
34061,3032,29
9208,37844,72
13216,7802,82
4241,33897,49
15289,19820,69
28708,1558,74
25648,2378,86
28134,11711,56
23370,4996,66
15213,32765,49
11591,9112,37
19662,37680,73
36129,13793,34
30324,18295,45
30828,6854,25
19857,27022,43
15836,13795,50
14491,30504,64
130,12191,42
2738,24068,77
27491,31742,49
33504,18524,58
18272,31791,57
35422,37593,98
36399,1143,53
3468,16938,31
6256,38533,52
11284,2408,58
15995,19592,65
22221,18478,48
4906,36027,35
12019,8305,69
15946,18282,60
16149,7714,80
17768,19054,42
16992,26394,23
4779,18874,30
31993,13967,47
30524,10650,46
26549,3247,32
9865,13965,64
31069,36179,39
4200,6180,87
1800,7859,87
25592,34203,47
12043,28675,66
28635,29724,34
1071,38528,37
38668,12839,44
29461,12899,43
7712,20332,45
34816,24918,20
12309,33381,71
1786,35406,97
4684,376,20
28610,18122,53
8695,7784,76
28237,19511,74
25511,13587,51
16822,24460,40
12163,28985,66
9278,34532,44
12991,24985,42
3108,27776,66
20625,3450,22
796,5623,51
8549,6334,80
10636,4619,38
28005,7842,89
34618,32770,25
8752,36841,64
20451,24178,31
31531,4841,48
33014,37578,80
33255,4655,49
8419,20466,35
14770,10681,66
17373,38013,71
6381,6794,54
18392,13604,36
35396,15131,94
29668,19922,32
18986,5614,35
7619,11278,53
36814,24774,34
15312,2768,89
18104,12111,59
34782,2479,65
5724,10161,70
37087,24088,60
9474,35741,80
18244,27305,38
36340,30816,39
8673,22835,82
23605,24000,81
11628,21264,60
30937,9454,45
21056,13081,89
5646,1880,63
3198,15236,61
9294,23531,79
36182,9220,48
28884,20664,32
3869,11277,50
30897,36202,39
9856,18876,67
27254,24022,44
37038,2251,79
22545,23755,101
37769,33139,80
25863,7887,81
7821,9194,70
20631,13587,15
1622,36941,75
17713,6842,33
24100,5456,48
26486,25789,50
15209,36095,62
19135,24,22
1758,32388,52
4749,27887,60
25890,14732,80
37242,991,63
20603,27147,17
21963,28836,55
5511,7675,62
34960,20325,19
11738,23339,62
31617,8751,67
25173,18077,26
16882,14609,53
16696,33306,46
23272,31646,86
33988,24378,38
9518,33815,36
1010,1599,76
29490,10552,28
23480,9427,79
37160,25781,69
34906,6848,24
8611,25943,71
21128,34249,59
34985,4760,31
37792,22774,94
8401,9346,60
35600,27232,68
13942,27211,28
17723,22734,75
9819,21513,101
35478,22652,102
18414,17691,49
22179,7878,68
6448,13002,86
16797,29366,15
28245,38416,51
5443,7736,62
7075,12392,43
18954,18987,32
4216,4805,54
13930,14671,55
13601,23388,65
12251,27789,82
29330,7021,11
25135,21945,28
3098,18829,36
13744,6508,60
37861,26509,57
18861,3832,56
12153,26645,48
24442,27034,44
36238,33197,56
36256,29583,25
16731,3259,31
2464,1059,80
26477,28734,42
19985,24854,31
6802,38426,12
29546,32443,12
25931,34183,47
231,10565,30
9971,31718,85
21281,24109,79
20674,32411,10
37550,28045,91
14420,25130,45
23013,19883,77
396,22672,55
6118,54,53
11531,5633,29
4656,33450,49
3964,24421,69
16587,4025,51
21788,16712,36
12353,18987,52
4620,7227,21
10183,35495,104
31824,7221,41
4819,25060,17
24960,27799,49
37070,36963,62
21836,13639,38
32427,35696,61
19091,29332,20
25638,12880,77
16906,3443,31
7157,6802,14
12434,34650,53
19791,14386,70
22652,35714,102
37819,1864,89
29639,10782,28
24233,32345,37
4559,19810,42
28686,5357,49
4073,12472,76
15377,12323,77
30787,9469,45
38012,4870,59
1960,2731,92
4532,33872,23
24359,5729,48
9303,17540,53
7211,2729,55
18030,1250,55
23381,37998,97
33232,17711,61
7674,37959,88
35313,14531,95
34817,12310,53
12988,24986,42
11487,1205,42
10171,23349,103
33442,27523,50
3367,26020,58
12826,26297,51
35558,20763,55
25524,11559,48
31926,10644,58
35729,891,85
12153,28196,82
18271,12050,59
9244,35382,80
36841,31006,49
31830,16542,45
16130,1920,81
22570,24450,78
28546,33200,65
21167,34990,67
8561,18984,49
14660,35297,95
30063,36375,43
14625,5345,61
9983,37892,96
15880,9391,64
12932,25091,42
36817,20281,33
20308,12049,38
11332,12005,46
19980,1008,60
1233,15327,73
18977,38375,21
34175,13567,22
28135,6772,53
17708,3423,46
24301,28986,59
17666,12042,62
37035,35739,84
5529,13831,32
4954,18977,30
27289,12844,54
31256,28590,48
32604,28991,38
26256,34583,29
10100,8569,84
6888,16251,44
7971,5452,62
19818,11737,38
20647,16750,13
26716,18976,28
24446,27306,44
32022,8469,67
23464,34027,61
3350,28604,50
26393,5317,31
19593,23330,80
31072,18135,41
8588,25177,36
30868,9815,69
7173,7707,50
22709,31902,83
10511,25563,62
17523,9110,53
33433,5288,54
27188,1558,59
33264,36466,56
21262,33010,85
37058,7907,74
6936,6335,54
10022,28096,97
7683,22852,92
28940,36956,61
37835,20485,47
21252,22891,99
20625,7673,45
31743,4739,48
27496,2688,63
15334,31967,75
34648,30893,35
16848,24994,14
1572,38759,49
28054,5395,65
11606,25534,48
4500,295,20
28556,30162,52
19695,19031,44
15269,4526,55
36390,29278,25
27128,23267,67
25800,26275,50
22958,33084,84
33166,9115,62
10706,12864,63
10650,23021,73
24025,9307,56
18324,28015,69
3938,14536,82
34018,16631,20
15845,3182,57
222,10241,57
22248,1842,69
10045,34686,68
33166,29470,39
28032,33086,81
18948,25199,19
16655,21456,61
38591,2703,53
24201,8374,62
21067,447,56
4085,19809,68
214,34908,23
36427,35760,74
21291,35494,103
993,19210,48
37650,810,77
13246,19174,55
15222,6168,88
5518,29441,23
36419,451,27
22707,32673,57
12273,30943,54
6207,6449,94
9465,18824,43
21454,24193,79
29374,25225,7
36184,26723,33
23746,29659,56
2258,22569,97
14588,8740,75
28150,25997,84
3515,30375,42
12305,21383,86
27504,24478,44
36442,2336,69
4205,14544,82
7543,3464,63
12351,36208,57
36509,35698,74
35275,2318,101
34523,11550,27
33210,31612,69
28228,17402,72
14391,15103,83
3501,28229,66
20573,38632,7
12862,27149,54
7813,13506,56
27431,11426,25
14431,29438,46
25668,31507,72
1894,5478,63
37533,28656,75
18869,21080,66
23018,11731,59
31802,19742,62
1845,16504,55
12377,33421,71
3841,8704,73
11460,23493,62
35540,2250,101
860,15255,73
18124,19108,39
14275,24399,71
33502,4640,49
12353,17358,62
32529,15181,49
16716,10919,35
34199,34714,26
6282,33791,56
34065,22940,58
33283,25594,73
22672,20491,51
11377,9202,37
17257,23717,78
5701,1517,63
36150,20347,23
2438,20614,50
25137,13973,16
27113,25504,53
22641,6494,96
26359,27342,27
15339,38627,46
7859,24979,46
37965,1110,77
13864,14713,55
21132,14306,92
30775,31049,36
34771,302,23
29735,31544,38
9970,28047,97
15416,11438,51
6127,18019,70
17474,1555,70
15772,16752,48
28142,31802,80
4642,23749,66
31214,6769,25
16784,19097,27
5648,9857,70
11434,7989,53
12436,6292,83
18810,16652,27
18505,35390,76
31792,1695,78
9907,7796,94
27069,21982,40
26551,23736,64
19191,13991,29
21038,28715,80
36073,13945,34
9947,28524,81
14488,14564,84
30033,27924,68
36038,36477,42
15766,10261,88
18035,19891,51
38483,20364,7
3305,1098,52
9890,17407,77
37751,3136,65
17259,28556,56
30168,4840,36
18058,13167,62
25017,31528,37
93,30818,24
30233,9103,49
25755,37812,83
5564,36348,40
29770,34765,21
3959,17597,66
9086,18765,43
36909,28578,61
23270,35316,105
29688,4797,18
26580,4702,26
30949,16862,29
25125,36922,34
20274,7705,45
17348,33019,61
9984,28639,81
3917,8589,73
4897,16615,25
25019,19683,31
36198,16917,32
24157,6492,76
13625,24974,16
23577,865,84
15492,37606,86
27520,19691,43
6057,9030,74
16687,32016,45
6996,38385,12
16572,13967,24
16187,5428,56
13813,33902,22
30182,4901,36
35736,6964,60
24085,22601,78
6162,24041,76
14309,36998,73
27356,24439,44
7742,28966,73
17263,7517,69
27496,322,21
35732,14679,95
4597,15025,55
31184,30797,36
7112,4940,21
33286,26002,73
11730,27323,25
7598,34220,52
36851,21992,56
9506,31145,45
24177,16887,40
29652,14731,46
23763,30262,74
20371,38601,7
425,3223,26
8374,24466,62
29462,2286,52
18044,20690,25
31072,1525,62
30915,28646,48
10154,38616,56
5614,24101,48
9181,12491,63
6879,7832,50
968,34134,41
38549,394,11
37178,37930,76
31190,2276,66
11393,12967,49
7857,2512,91
452,35601,59
13645,24755,16
22140,3182,45
3286,18217,43
19501,38546,33
18858,32647,24
12183,33773,45
3365,10096,71
22983,36306,70
20628,4250,42
28789,25112,33
19832,18287,51
6197,28,53
31045,31268,36
34696,14759,59
32347,8286,41
1778,26751,56
22688,23495,101
29426,95,10
12342,27031,51
21980,23433,77
23374,31193,70
21821,85,31
22741,35461,102
11316,37609,55
32699,35434,61
28149,888,78
8450,7958,76
13511,1693,57
37862,6796,52
32637,9374,35
21215,19090,66
9092,17017,38
38697,29508,9
13176,12830,78
22549,2655,97
9055,17616,53
8687,22897,82
19922,32019,62
13014,20721,41
26349,2355,60
27369,26691,27
16722,33515,46
26270,27004,27
7840,9465,70
28669,31688,64
23628,23436,104
19191,14743,58
11626,7849,53
7136,14393,49
2689,7042,55
17593,29473,30
13196,32654,47
10653,37824,69
16749,5656,30
36060,16818,32
4080,12945,79
34501,25113,20
8758,23751,85
21950,17584,51
20658,25098,5
32579,20656,10
2688,15024,89
9017,28598,57
15218,18343,64
