card_1,card_2,card_3,card_4,result
6251,20272,24915,12369,67
9889,11387,3226,27396,76
19763,27358,36154,34952,34
35342,12420,30754,31561,120
14537,19648,30797,33904,37
9330,24357,3519,22028,75
24113,34117,9187,4209,88
31136,20323,4192,30802,64
37634,22729,34803,3259,86
4988,18320,22162,6470,90
23502,36497,18796,7528,90
38381,6052,7139,31011,54
2431,317,6511,38444,79
32307,33523,25828,4105,113
13646,37585,29677,8362,62
16851,22793,33783,37256,75
5743,2642,25642,24867,87
25109,11596,13154,19748,58
37859,21971,28622,30064,78
6313,7026,23671,15151,99
4214,3029,26263,28993,80
30362,15866,993,34623,77
14299,36806,4522,38620,46
1941,12974,33359,9785,134
3351,19948,14368,17670,58
35627,9889,16214,5440,149
22658,19128,30979,28111,84
30782,34727,9763,10667,88
12150,30151,20648,19975,56
15370,8024,25234,25756,63
37550,15499,30521,7518,66
6927,21293,9940,27443,103
10555,11500,8371,21511,97
27470,37012,30107,36435,53
22198,13048,290,29758,73
18174,7241,4737,15002,49
7730,28539,26605,13611,53
5506,12438,6467,28129,102
7597,34048,14346,25130,40
9062,16151,9213,1048,107
9850,256,25013,4763,71
9861,21100,17359,30780,128
14329,28053,20729,32752,50
16154,4508,110,16758,64
6191,27199,26303,26580,60
4206,37811,31966,31195,100
36109,7864,2742,25507,104
33260,35605,4240,18350,145
23516,13538,14491,4589,91
33387,23733,10158,23737,179
32015,21944,14694,21246,104
6513,25505,27451,32498,80
36466,36287,18084,10889,74
37600,15911,3875,22998,139
14540,10248,33827,18935,75
1568,29310,29570,11623,38
15753,16790,22137,1171,86
14534,1792,38478,30193,55
4501,21182,30032,30459,94
20402,15516,34806,2347,54
1597,31016,33416,33980,66
29560,38271,28814,19760,27
26749,5334,33961,18292,53
24498,33493,4728,22607,90
18084,38688,10629,16892,58
9111,3019,4135,10055,132
38658,15944,22912,9961,126
6872,13237,7809,35657,118
13006,9042,1078,5268,97
17001,24802,23643,29281,70
998,1976,32765,27003,50
3398,2603,31610,10548,96
31133,27063,21825,18924,44
35438,30073,30334,1178,110
4103,11324,31731,13834,89
21178,19758,3949,37920,116
21892,18302,6148,13118,115
4636,9006,34823,33108,77
8528,1190,22936,3014,93
435,26436,22240,32440,50
31154,26288,35753,30911,88
1777,34983,14496,3814,82
31194,17528,16601,29411,51
7607,27832,6775,7908,67
10961,22845,32497,18185,90
8690,31155,950,34791,57
33354,1798,34706,33159,82
19530,37852,3998,31612,96
24303,36870,15080,20768,34
21462,18087,26608,28749,88
15444,3126,33126,10078,97
30372,17356,22512,37808,108
23552,38524,35007,8453,86
29014,28158,16915,25044,54
10090,1738,9319,15024,104
26348,28074,6052,28930,84
8629,387,1045,31691,69
21970,33150,6793,14306,70
22177,9436,34755,21770,84
36173,19031,5576,26535,46
36939,8327,33932,16142,78
19675,20620,27927,16718,47
25957,1021,1045,22677,112
36974,25750,24955,7989,70
8006,17456,27416,16635,57
2376,3479,13910,12519,93
31795,26487,6409,13242,107
24357,21425,37,25614,95
31725,37792,3825,36128,106
22237,7865,7086,24145,56
5301,15817,33140,32511,80
22193,31859,2636,36792,99
28699,19610,32467,4239,68
36017,9123,31959,33155,95
27412,1972,37607,28538,60
8335,22026,38315,25742,86
31060,395,21034,34639,68
21450,27268,32765,9491,84
27938,30112,19550,13719,65
30294,28971,23611,4237,124
17511,37850,4046,37597,116
308,12822,13944,13731,71
26017,22706,29274,11377,90
15862,36128,9489,13723,90
28826,6300,15785,4764,91
12265,36316,73,13189,91
3784,3965,3769,2459,162
21524,31570,18281,36847,103
8721,28817,24043,31072,52
457,32447,19640,38760,25
11756,14423,24972,29716,29
9034,24421,30154,12777,94
7876,10500,7148,8374,66
10165,31014,23529,22850,150
27254,36208,37133,24257,44
23258,28160,4501,35710,150
13270,13735,24882,5502,67
28807,2417,31794,18834,78
25216,28791,11707,28853,37
25250,8762,16514,34690,43
34905,23733,27346,27884,92
13815,15953,27020,17019,61
8334,25114,21066,34926,76
16790,6512,13142,1626,102
12049,25693,37044,26424,93
13028,10631,6422,2560,129
31900,13818,8397,21430,102
22658,33814,37953,25548,109
9228,14501,25050,27001,47
24205,14320,1135,7114,46
28173,33309,32351,6052,95
31557,7180,104,24817,40
26734,24331,11625,6513,63
23629,17676,14682,4140,132
36257,34201,18866,32531,39
36390,18495,16800,13516,60
36090,33225,14262,25980,91
6020,17258,28870,20742,72
11530,37805,24399,35499,99
28645,2588,21101,19043,98
7017,15324,11481,7682,41
36095,27768,13237,22990,123
37153,26521,10611,30888,59
37994,38667,37893,1656,73
15272,14323,4154,33940,71
6103,15063,7941,26669,68
32299,37526,28863,3950,86
7608,13859,32448,27476,41
12271,2467,7143,6320,105
35718,33265,27448,16674,98
10613,24404,7893,2503,83
10913,25702,29563,5364,74
17383,34741,21497,10600,100
30866,33057,3395,36420,67
31565,20508,38490,19827,37
35631,25634,35358,6342,180
23614,38380,31149,35774,123
9411,36446,24843,18131,67
14584,31979,17732,9433,90
1529,29351,13238,8425,84
21188,22749,36300,17273,126
27291,3286,9793,19790,72
5655,26733,9782,38651,77
10968,36471,4992,37967,76
36075,2453,325,25091,61
20440,27785,9071,17528,84
10966,25915,20302,37145,75
37176,19734,28244,1931,69
20658,853,37873,7003,51
19964,18444,35330,4678,96
17608,3133,27778,6153,100
30119,25134,23524,30919,83
16611,12159,16123,22120,98
33113,31218,4719,33989,60
25183,21061,12826,446,92
31238,24311,18320,10585,61
25033,8503,24276,23734,85
21243,13124,15270,14303,103
5693,4246,1796,7938,90
4909,10547,5610,24227,57
21237,37090,28165,1768,107
13163,14364,944,5543,81
32278,24135,12352,23324,99
2484,12914,7938,32512,99
25783,32381,34865,22731,92
15783,21483,6209,25036,112
1612,38660,19746,9404,59
1959,9210,3112,19772,68
33083,5505,15294,10002,95
35598,16158,27105,20755,95
24312,25763,12167,10519,97
19101,32373,36021,520,36
12183,29702,7989,38276,55
21990,23002,24375,22043,97
4143,26461,25672,16579,101
25221,34934,15288,36194,35
20250,14336,37597,19023,44
8671,27300,36904,34843,48
18765,12002,22679,37836,100
23645,34823,20681,10713,84
12982,9444,33866,27433,80
37728,34861,33931,15514,49
21154,6122,6414,36189,124
31644,32486,20515,27355,38
24519,9448,32596,9877,93
37190,11371,9986,30308,91
36933,36228,22601,27062,75
23693,17329,15981,29578,115
2417,26399,36436,3416,78
23528,34574,5662,30013,90
29333,30828,35432,34890,78
27986,28024,23606,12939,147
7204,29274,34238,33351,47
2375,12406,22157,6027,122
28622,6232,11361,25848,90
24127,4029,37171,1741,86
10944,24337,38282,11450,46
520,8719,3286,8658,62
26403,17376,23361,32453,98
25565,1870,34543,18146,84
15279,25761,463,36895,65
13619,14531,24466,19015,40
37618,1995,22189,12477,98
19723,3486,37174,25699,71
28545,4071,27430,24289,67
7697,30180,18772,38636,45
3279,15088,27392,4144,68
861,21156,6772,8393,90
25687,13216,4124,6839,124
27871,25124,13954,19051,50
16197,11700,1897,10,69
37706,20603,4983,22983,80
37047,1885,27275,34221,48
2312,26359,29357,26527,64
37857,37223,223,5433,57
3054,16753,25928,29589,65
6400,7536,11445,18844,64
25987,18507,22553,34520,104
3810,21775,24514,7998,91
12837,19550,12285,21807,99
22631,11536,12890,16593,100
33032,14307,35589,13882,108
16724,34039,10758,22151,66
9045,5524,1878,25028,63
4158,25145,11737,23651,107
4253,35507,4257,24871,143
36941,7234,30024,27880,68
29403,34588,17525,28888,50
28732,13185,29532,28826,67
887,1809,4015,14504,92
33472,15516,34904,14492,55
6294,37687,19190,22248,86
6399,28989,19530,37165,65
32773,17720,15235,17022,53
511,9168,16111,13818,80
28953,6830,1188,9988,85
27464,5594,12886,18007,75
6142,34043,11467,31549,75
11702,6242,13506,37813,79
28780,23709,10514,787,104
37648,18841,5667,31857,66
14560,21272,22146,5745,92
37128,7863,38531,37888,60
23636,29595,25526,3139,106
12374,30400,36242,16846,75
3494,15750,25026,4611,64
16190,18881,11672,25732,85
37182,5733,2742,17658,89
12513,16127,28832,18347,95
15996,912,23763,4778,117
3958,22232,27294,17305,96
24983,3984,25586,38673,86
2730,283,37156,36112,73
4698,23703,13254,3195,119
31872,15089,6285,9900,112
17375,18379,33349,16694,84
21329,30929,21289,37238,113
29676,1769,18831,22855,70
7058,36760,6319,4158,96
11296,22996,29757,37545,78
466,16998,36011,14697,45
6905,4051,36244,37512,89
24064,33318,1594,10644,78
12907,19807,9905,22254,117
10862,25547,13628,37922,95
27276,1823,36248,2253,76
2589,21899,180,19138,72
23750,9869,3146,36186,130
100,22958,8689,12196,97
19967,13840,33049,36821,61
38774,9046,14258,3901,87
32566,33153,7150,37019,57
234,931,36943,38528,44
27164,21097,37055,9109,91
13641,19956,11408,230,35
7972,31273,13906,27054,43
9258,29536,26715,34687,52
28132,24955,17439,3209,71
8563,12001,6494,36473,99
6232,32556,6384,1983,92
10788,14003,9822,24823,86
25567,27051,4799,861,72
37511,11375,332,12189,70
6852,37858,15104,8658,60
33514,13233,8401,4530,101
30105,25216,2521,3073,71
19980,12227,14312,38755,53
12227,31233,19901,6057,78
7119,18068,33326,33029,81
9186,12149,34106,15294,75
31171,17296,21401,1046,98
23673,30195,15943,18218,123
5405,21521,27879,25879,120
21878,14324,4785,25587,86
21123,8395,4077,8598,128
19671,3417,367,18795,32
26429,9146,38018,4073,106
3486,11744,1156,4506,56
6959,20507,9262,15846,70
14479,3094,30936,6820,43
3817,25570,8479,32665,107
9210,21247,3290,8533,107
16584,11733,16180,4202,96
23321,5326,14601,8262,97
3502,202,22505,14354,72
17451,17717,24833,21888,79
12314,9928,29277,20764,84
22854,30860,31107,34198,69
28535,10833,1549,23321,106
9457,26011,2513,25626,136
7570,16774,15914,13132,99
36477,13985,7513,36964,60
12272,13174,21070,27511,117
10961,5433,23263,20680,88
27329,17361,9465,22771,98
21811,16734,19569,37528,65
22657,28656,30498,16553,81
38593,16858,21349,24341,69
16038,4005,31561,24362,108
27004,18309,10596,33391,73
12015,30096,23007,28755,100
20253,4151,217,811,68
12756,5621,21416,6307,127
16271,15363,11654,33989,60
18108,32350,33310,18881,61
13633,30475,22536,19970,77
10981,20252,14439,35443,92
12982,30397,7976,38745,78
3277,28651,36227,13208,81
38423,36937,6149,22615,92
27976,10769,13803,8639,84
19773,22715,4099,32661,96
33904,32557,6824,20337,26
12009,23419,31138,3049,106
5342,6091,10869,15002,74
19981,15483,4051,9237,84
33431,22192,9374,33211,106
23481,26008,9303,10203,164
37129,24366,38009,10255,96
12450,30430,6295,18795,86
33365,38723,27282,4901,50
10044,20531,19668,35375,112
28877,11339,9805,14301,82
20577,37980,36215,33842,51
2344,19606,22702,22887,122
8707,18082,7118,7982,64
17520,27961,16125,346,93
33092,26330,21403,28907,95
16204,36423,6221,5001,95
2529,31848,15478,18085,88
26551,32004,3218,27330,54
22816,8614,1658,1704,101
26395,13155,10696,13999,86
10056,29761,12263,1147,100
21346,1795,12283,12004,124
9206,22519,26329,3495,94
19865,31684,36961,18182,65
34811,6775,2260,785,69
25945,12156,28066,3473,108
8552,21816,9763,21079,137
14677,14547,12248,38327,59
14469,33160,2561,25514,111
32729,12446,14482,24167,59
21413,34142,21398,22505,137
18778,27860,279,36988,55
21296,15063,8623,14347,85
10009,885,13556,35613,135
2723,27423,36405,27419,60
17272,22250,34636,19813,64
30894,38730,14538,25815,63
10836,31021,13211,5539,83
37938,33509,32343,4167,101
9296,17490,36448,24333,79
9907,1145,23585,1010,136
15097,37973,1681,278,58
10779,2723,25890,4200,136
15443,30841,5555,37711,54
28955,31198,12763,8574,82
17681,38722,37122,48,52
28998,12082,15479,30023,68
25634,33172,25108,33010,93
19694,29382,32355,15856,51
18796,29663,18759,28562,28
33344,25796,17015,15848,107
2381,213,9487,21432,114
15058,27188,27940,30930,50
15818,3761,6470,31754,131
25158,21924,7267,28734,46
995,20411,4224,17377,88
21329,23309,34205,37056,120
29611,19523,27806,33854,47
21503,20603,21459,27107,94
36513,17510,32002,19692,72
27934,18993,30349,10075,100
6799,21221,9828,37622,123
8511,35711,28507,21891,113
37836,31093,2619,25067,73
17656,15152,5352,34776,54
7994,37007,4696,4111,87
23604,23771,1258,4568,136
36404,25132,4081,6146,93
17257,1895,2598,25162,85
32360,323,2605,15874,83
6783,23408,5458,7548,87
16183,9089,1230,34580,87
12133,22779,24065,16111,112
16887,9013,4654,21091,97
17687,21960,37104,30839,75
38610,10253,17434,22265,103
32304,13709,13519,24065,43
9355,22738,31514,28234,120
22783,28703,12082,10144,130
34873,112,9909,24107,71
20750,17505,28816,29415,44
16999,16570,29692,2250,62
3838,29258,28850,11518,68
14759,3247,4218,34753,76
37090,18165,10628,35703,113
1003,16623,28618,28773,53
13198,6051,33852,29706,84
30778,5708,24351,20601,33
34227,27297,28789,23381,77
15320,7693,11019,22719,86
168,37636,10880,25207,55
4949,31678,38592,36767,58
25052,5331,24017,19557,30
37148,22995,6465,4739,101
4895,28125,33898,10818,73
33039,23386,13073,17453,144
19098,14451,14749,8711,51
36507,11019,24289,3281,61
10017,16969,11371,6173,101
34586,10761,20701,25871,68
36810,37103,228,20487,38
37760,6195,15239,34120,73
38274,30205,6452,857,73
25122,10948,9315,7683,69
34593,32744,17769,33273,69
33004,9318,32737,33905,72
10239,15079,28116,16079,117
34972,16861,36755,29541,38
27263,11307,32395,36947,37
7972,1990,32755,22631,84
35696,10178,25505,12128,170
23329,220,34650,33461,93
13732,22770,17426,36066,95
28917,7788,24345,19259,43
29561,22614,19502,19026,56
25082,28183,31976,26573,67
31806,19980,16541,1734,61
31717,36943,7877,17374,81
36935,4725,12999,10746,90
16225,14256,22128,18496,89
12204,12828,21985,32416,101
25133,30101,22795,3136,75
12451,28688,31647,28982,78
7670,24025,27249,12238,59
31625,28629,23402,18206,108
33322,832,16143,33496,105
1112,30841,22983,1882,88
10009,167,38497,13267,98
28273,10693,8527,30267,89
9311,28888,15415,23550,100
3146,8610,28124,30176,81
22818,27055,37984,15087,76
32415,14254,2732,24089,65
5258,29517,17018,30006,45
23386,14513,24983,5344,79
6521,3274,7140,9501,81
14640,2414,32258,28963,68
2291,10561,12413,1613,108
35000,30415,8393,21310,91
17252,10955,11757,3218,72
33057,12239,10907,31108,89
23761,15824,35479,10543,163
318,37672,4816,19543,50
13763,35277,13018,5534,120
38615,939,17747,1906,69
29757,18924,4693,11321,34
3849,30909,23601,30124,122
38305,38418,2282,6220,78
27282,16202,9503,10249,113
13187,8487,18024,34165,89
16041,14328,227,31248,61
30172,18021,26615,3408,64
10028,18977,3430,19886,74
19666,11574,13090,23756,107
33390,18402,18469,30119,85
28541,1012,8368,33104,78
12112,39,6793,29349,47
31134,4694,6330,22532,96
6999,313,10747,31201,45
991,12803,29448,5667,73
4927,36501,29496,18506,54
15406,10038,6050,1247,106
14284,15975,22675,11021,107
26325,34869,801,31743,62
24142,29471,11671,2014,43
14634,7800,5525,3181,54
8375,21787,38709,7652,66
28150,11524,9493,22742,106
20444,22907,30035,25589,96
12915,31235,11599,33205,86
24867,36473,15129,11505,37
23517,2756,381,25631,130
2722,35736,17619,9135,146
5317,38426,37033,28020,60
17353,1004,23759,29633,100
34240,18836,13875,32338,36
19951,11315,31245,36815,41
37608,923,24202,14475,63
30046,22572,7089,794,83
10814,16567,13123,21025,116
13989,7252,18173,8695,61
33753,32744,28885,36366,45
2308,36945,36150,13817,80
15805,12052,896,25955,117
16627,9324,10963,26684,73
8583,32557,30807,36173,55
4856,13855,34701,8658,56
34662,98,17515,17430,66
1079,11385,22830,12316,98
36418,13708,25920,18942,71
22612,11765,1757,32604,78
19734,4842,31210,7692,46
32012,29611,27900,32535,64
22214,25204,10198,3003,89
1818,13672,13802,7949,62
36190,34222,33275,27984,80
2760,11666,29425,7509,66
29715,21946,33980,4883,51
33815,10644,791,5512,61
14651,34007,10770,1827,63
34832,28518,25801,34044,65
30931,30037,8286,22788,89
25586,14686,20274,3131,64
10827,14765,29367,118,44
1948,26642,24777,12898,74
12292,10543,16658,8341,84
24782,28877,36967,8633,51
8308,28155,16080,31731,106
6271,22695,20406,9073,102
17310,32442,13074,33815,82
2708,1152,22726,21084,138
10780,12866,36808,10163,124
10903,16233,21456,13905,112
33276,13033,11532,28887,88
30308,21282,16525,4509,87
3057,12281,35475,6386,132
35424,17322,37867,13609,119
25728,24347,24076,29639,58
30241,31176,12958,5646,79
22614,29578,33426,1803,91
365,28578,6127,1076,68
1204,33280,25948,33823,90
10269,5646,27955,29488,92
35726,11561,28615,5328,90
32711,23443,1180,18893,84
27456,34705,27393,33470,43
24472,1141,272,31586,57
365,20419,6410,29281,44
12835,17382,3916,35450,163
15388,35390,11253,8540,95
7738,34645,23333,25084,79
26463,7951,2663,32449,72
7857,30890,12916,1008,83
33279,7746,28561,14513,67
36498,15416,2393,7019,67
30838,31597,15023,13879,55
13131,33220,20652,27879,96
12426,17637,9089,22105,108
3045,3242,802,4634,60
6829,9762,8487,2696,112
27035,8656,10667,37897,71
21204,19065,942,10814,90
13202,38672,7980,2549,96
13807,22802,26418,17639,91
36795,9817,34855,26323,83
362,9261,15861,28183,95
11545,30795,29738,7233,31
10790,4789,23682,5628,100
26707,15042,20586,33522,49
2485,8512,24845,38317,65
21983,1866,7904,27443,64
33434,12510,15514,15302,73
14598,13567,13966,4752,52
30898,37568,15118,25266,45
12807,29263,32605,10924,73
31781,25241,19534,29507,37
23371,23648,24478,7540,129
14022,14457,12237,18825,61
135,17593,36379,2676,84
7599,13052,22755,35592,151
17452,37852,38259,6471,87
33290,951,7718,9426,89
27309,37162,25522,12353,85
7270,21002,24955,20310,56
15443,7526,3475,845,56
17707,37026,20667,34141,52
1259,13840,9086,22002,83
24504,15,36468,33462,58
1531,19609,33077,11595,63
26497,34703,17421,7586,62
26458,18402,16916,38716,48
26736,417,12214,12330,78
38590,16250,29015,23559,102
11024,31613,4040,22256,112
24454,5662,7730,20659,39
13545,33778,17451,24084,57
38310,23492,13919,31521,94
29501,19670,17672,6914,43
31225,20344,11758,34137,31
5423,7541,27504,30342,50
17307,28895,9132,20647,68
25052,15302,15796,26522,56
25675,12186,2425,38595,107
11737,17367,38427,13273,80
17352,14485,24121,20349,49
9363,21949,12352,37272,97
28534,30337,29466,10918,56
17010,27966,22838,3083,93
14336,19120,28635,28101,58
38676,1989,6753,6890,39
28987,19981,4920,11687,42
15763,11512,1835,13158,102
185,1088,35427,23411,132
16808,25190,28205,4670,56
16186,197,16968,10811,72
16210,21044,23561,5339,141
19645,3338,10094,34671,76
25257,21004,15298,18444,75
25052,13817,22257,13526,53
22711,23664,25742,27268,132
24174,9240,13005,9401,104
7998,30823,35475,13619,95
19169,34076,12964,7922,70
3195,24317,16102,20447,58
30938,33453,16070,30220,88
10532,7092,2623,24270,74
9077,24984,20550,32614,41
32616,15446,4216,33423,85
26415,10906,1983,1580,74
19650,3442,16100,6796,60
6347,6092,32428,7781,88
13162,20390,20669,37570,67
36087,26284,31762,6316,84
27953,9416,2533,19255,98
13595,28541,29595,25032,32
27485,20453,24331,27200,19
9136,6199,427,8362,87
1178,36136,21949,6436,90
20306,2658,38540,34625,51
7652,3771,37903,27105,86
37220,14660,27470,18045,51
31809,34050,7569,35607,105
33123,21096,19763,14759,89
407,24066,2425,16736,62
4027,35370,34894,8450,127
28197,9132,5466,13103,107
11434,27461,37534,37218,53
6766,31820,3383,3397,59
1247,3759,31614,1651,104
17331,19555,22546,20655,74
4096,33262,26269,2527,117
1903,9072,20595,28502,62
21305,25854,25590,34146,125
924,33808,38445,18190,52
21480,1660,9920,30431,130
21385,30815,34844,1550,82
12943,18987,28254,27434,77
14401,29491,19647,37741,46
18047,15445,16095,18778,67
14683,33360,27347,19912,49
12758,1548,17265,17739,111
2731,985,998,31704,96
15178,24069,9410,14303,57
36465,28968,23411,21095,124
20308,16648,24821,29000,28
20324,16634,34716,35488,77
16963,25245,13998,30995,37
21191,27056,9039,3778,118
13686,14703,13550,30155,56
22956,5017,22773,33427,121
17763,3452,26713,35359,108
28528,16760,31644,27046,51
34267,21326,8676,21303,118
6386,2671,37786,17599,118
6918,15246,6052,36895,62
19828,31893,18941,19717,42
19526,3077,6339,23606,104
14726,33307,21939,10181,111
21752,4588,30850,33277,75
1671,37898,23504,37028,111
24327,19964,18286,28848,47
32379,28755,8446,24457,50
13813,21071,3972,34996,107
7257,19991,26361,7569,41
36135,28856,387,3006,48
35684,21865,31918,34274,113
1611,22189,26725,30970,66
5278,3296,6247,23390,110
19071,29518,31661,29278,38
26301,12901,34210,24202,69
25857,27807,11709,19234,80
36810,6898,5627,23441,86
4051,25993,10979,14568,112
32619,4691,5302,19984,40
29433,30003,34915,12401,60
12287,31595,35505,1637,130
10957,19740,33504,25568,91
5474,13898,26679,23628,89
7881,2250,18300,11486,82
1684,198,3505,4252,82
35394,32737,18294,24419,93
21110,21011,34099,28573,109
36250,17703,36407,17681,84
27824,1558,35497,18940,110
26,29637,19224,21287,60
15999,10024,13886,1966,114
18808,4760,33976,7271,36
15920,2509,18275,25060,92
33858,24026,21265,23768,114
12468,13245,13719,26361,94
34790,37052,34909,29403,35
27893,9303,18869,29264,66
20545,21301,6929,22991,93
11013,30339,2383,37950,100
30935,17267,38313,24982,44
26432,28035,19615,473,52
35689,36384,267,14749,90
16720,7874,33456,28816,66
20489,18105,10565,7537,60
15784,21078,7979,21927,117
4609,1927,31530,30850,68
24781,38680,1033,16838,37
24931,33,36234,20317,27
20568,24991,8632,10167,74
38329,867,34824,20675,33
30928,19161,13869,6931,36
24455,36384,6316,18760,63
21289,15958,28677,23011,129
18924,4191,34918,12047,86
22762,6247,33481,35774,155
16261,28805,33048,16854,83
16822,1892,38490,20625,38
20261,8528,19040,7980,45
36780,10607,275,18232,63
16077,11673,32697,3041,65
2500,31967,29565,34687,72
36910,7052,876,19191,46
22123,9338,33065,8635,100
4028,1760,18321,18379,102
37971,20380,37088,7196,48
28139,5761,4621,34076,63
35351,14305,31984,1620,112
36267,8596,13670,36434,66
17523,6488,25791,4566,108
15155,16713,20623,14368,33
7838,14304,27199,5600,44
8558,9778,4688,21447,127
11610,11716,18281,8433,61
23011,19273,12810,25625,121
25738,24761,32628,29587,51
10716,10925,20355,28621,58
33329,28932,26279,24366,60
