card_1,card_2,card_3,result
12391,1176,35431,121
778,31201,14257,92
7626,15420,27509,99
17399,205,18017,55
34204,34793,15056,67
37505,13060,3320,104
10145,20709,21929,78
2715,38299,27152,68
24387,30496,12252,87
987,16566,29305,47
16160,20541,38773,44
3166,21914,22862,94
1800,9881,114,101
6164,37780,36336,113
10597,1036,10715,80
13094,1803,18402,106
16508,14311,34003,62
25772,15822,4154,115
11755,27962,13998,69
23014,19525,24505,106
9118,34835,3396,64
9809,36852,32445,90
37909,21923,13054,109
6468,7661,23507,142
12806,21079,17024,100
18449,27318,5569,57
6430,22773,11268,106
15478,10860,24017,94
5307,11509,28111,75
5337,15494,24445,89
5356,27795,29607,69
22841,17372,236,81
4220,28879,21374,120
20557,21874,5514,46
38024,1715,1526,133
10264,20324,7048,60
18442,24438,15154,93
29597,35632,6178,104
32774,22968,3006,77
13203,13785,18849,68
1570,25708,38461,87
7051,12103,17753,69
7993,8723,27287,91
38335,21188,35444,108
10998,10763,9879,99
24898,22899,19273,68
13218,34198,16031,85
28884,25834,2517,116
25970,900,12887,109
9412,7700,28723,100
27294,27933,34847,78
32450,422,10644,38
21024,29577,16088,91
1859,23510,15191,137
1617,30094,37742,111
34687,4562,33278,66
379,3098,6352,73
24466,11342,19068,55
12251,2492,28717,114
31647,21220,35305,137
22573,18146,31100,90
18874,10153,15988,104
24413,26676,10850,65
33327,24025,38731,69
15966,24974,5261,59
29263,13590,9299,44
15973,8283,5426,89
7636,1096,28928,105
37175,32456,27289,54
25003,10973,7862,70
32493,1670,8,58
2605,15367,8545,122
30071,21765,28998,77
15195,21490,426,97
6432,3937,30805,105
35387,26611,15101,106
15407,19518,27398,84
38495,35670,13272,97
19620,6962,26333,47
15514,34869,15305,99
9296,6475,10917,98
17282,37087,6081,104
12027,13111,3298,95
34824,24797,24205,49
9124,181,26719,45
17382,13885,14464,81
15105,5639,34952,77
17656,20691,1052,60
18277,24489,2696,100
6045,18782,22519,112
5478,933,4206,91
38597,31723,34237,48
27366,21366,1526,109
23252,10166,395,109
15962,14559,27092,94
33041,38413,7957,83
16818,34724,8588,61
19004,9909,34000,76
23344,25572,31541,124
6287,16803,12057,94
5403,35383,9929,123
32502,6998,18325,38
3491,3331,29332,44
24898,15857,32471,48
14562,340,12207,84
4606,24217,26701,55
22686,27757,37722,140
22912,16613,16524,71
10776,6463,19715,99
6423,31828,19829,109
13143,6250,33983,95
19524,9456,1643,99
25557,37569,28085,129
23490,6209,25093,102
7104,35527,14638,102
9492,18764,11319,53
31217,4639,34588,49
2748,12169,15283,125
26370,20457,24189,43
10911,36003,38574,50
19734,22815,16149,114
3165,34002,10174,80
8644,8354,38596,71
17382,16790,3071,57
19879,2494,1597,120
33849,25946,20604,49
27500,35458,31245,86
4102,15294,31558,115
9268,28913,15111,98
34577,13898,20021,58
11259,37067,3925,81
10020,7756,3288,114
18354,12205,7610,102
36832,23323,1163,115
2277,12129,32417,92
15195,30366,25113,66
12368,30063,15130,99
38540,30140,11651,37
37102,37861,22780,125
14495,2757,21927,115
1766,13057,34872,100
11448,18492,29298,37
34581,19131,35491,86
27461,20389,15965,54
25217,34903,18464,43
23256,11298,28517,92
26465,7021,7124,26
26484,36319,13961,46
32534,3393,6919,35
2479,11479,33973,67
6109,9111,31667,108
30065,20521,14439,66
1773,17620,37837,115
34580,2407,31934,99
35387,5,31706,93
18498,289,17323,55
35411,17290,3196,99
199,33806,13508,28
27283,27474,38533,35
3891,10126,10215,142
34613,33836,31935,60
8495,9946,15019,125
11420,13555,17624,49
6226,18469,18343,93
30365,15321,10949,87
17439,19989,7128,61
35543,30300,24061,104
33133,37828,31793,114
10733,12300,37809,105
15378,14457,34550,100
15796,14742,6185,126
19220,34034,1981,69
7842,11326,31257,71
31037,33759,37565,72
32512,31940,22662,91
18771,16001,37559,98
28778,13714,9289,70
13588,20448,9762,66
30193,13695,24786,38
34540,27851,36880,94
16791,5303,17700,56
21397,28177,8294,129
35348,22016,35397,131
31979,3920,31817,108
7174,17758,36118,54
9769,31797,18831,101
25033,3837,12501,79
26773,13167,9315,78
214,13123,30202,67
20725,3771,9189,69
16663,15851,21061,98
12013,25984,858,106
6046,30750,23590,117
15318,27097,9845,107
22203,20291,33254,62
19533,27162,35343,96
33164,8001,30179,100
38334,20390,18434,30
14012,27986,37153,90
26542,22860,20454,63
26017,25579,29723,80
22118,20023,35503,106
32292,18022,29626,35
5639,2714,7122,74
31514,7020,30315,63
5500,15062,37514,105
404,25637,9822,95
1093,23389,26402,96
12015,30867,17620,80
28507,1,31214,54
3214,30967,22225,63
27001,25135,30752,36
1155,35442,6762,92
4096,24478,7264,76
29679,38504,7067,16
26754,1197,37954,89
4944,210,15937,57
4697,16935,36909,56
38350,1009,36360,58
11408,16176,22894,96
13668,30367,34110,44
22837,12151,36783,116
35345,2641,27218,116
9886,34589,8278,101
20328,8372,24847,38
10026,30886,24963,72
19978,26639,26613,52
24938,18108,2272,74
15147,70,24824,50
20613,36126,25091,26
4229,9250,383,73
18845,35704,27329,84
28836,10795,12328,90
13654,6291,4671,74
14338,1668,16588,97
31553,25998,30436,94
17388,24376,29560,59
29357,29508,1203,40
34090,23271,22179,86
26736,15181,23682,105
13939,27285,9520,55
10858,7654,28601,97
12056,33933,25670,83
6044,12510,35718,136
9951,129,5731,76
11455,968,15794,79
26558,24942,35359,68
29279,11715,22735,63
27155,25917,13812,66
7106,11630,15462,58
9231,34770,7141,51
30365,29014,22982,101
31937,7907,3475,97
14501,6197,36875,120
38670,22769,5285,73
12065,17591,5485,81
4208,18946,33432,91
4807,24097,12888,82
14567,21102,14267,134
6501,9509,24233,103
2001,3009,31854,98
27794,38587,30489,73
30281,33877,31848,65
24045,32467,29587,41
10790,1117,33396,91
31049,36044,26269,51
29651,1178,33431,71
34631,35550,13527,83
32667,17456,7025,41
24132,13525,6415,89
4204,15273,12140,117
34792,25747,35586,108
3500,16760,33423,66
9263,13629,5725,59
5549,10778,4199,83
25073,17575,28927,59
34722,24522,13799,59
21239,10978,8427,107
21976,8734,9514,85
31860,21279,36150,105
22998,9215,302,82
24162,12971,10679,92
38600,15520,19061,62
32467,38281,29742,17
4034,13126,9980,130
1081,34011,29625,45
30026,2371,33512,105
26405,17580,24351,67
19736,28501,31194,76
24322,34156,20535,40
4144,30048,7244,69
4913,10931,338,44
25772,5370,11333,67
22952,963,22125,106
16695,32333,30487,41
16940,20327,21020,63
29463,12061,7063,47
25672,25079,18019,64
20574,33403,2461,85
32542,810,3337,60
27308,4862,11553,39
2753,28145,3001,114
2477,8722,9282,108
27500,7539,22523,107
12068,20698,22873,87
29412,12805,22951,92
12326,6327,5304,102
3284,31160,28882,68
14436,2290,9486,117
15149,247,16095,84
14331,3385,38597,67
28984,32409,22985,87
25738,33225,20575,75
14479,6783,12436,85
38296,10260,28519,86
16795,25101,3034,34
36834,2533,36921,110
129,22751,9292,82
31135,21772,13917,56
22859,34052,25657,96
4010,24371,10075,120
28857,21186,29752,84
33812,36782,4804,54
7255,13987,34820,37
12176,21377,25585,124
14747,31748,1732,120
8020,31016,2549,109
4203,6352,23544,139
8305,24819,6094,83
7548,8361,6507,123
16641,7003,24821,21
7688,1750,1716,131
22125,31681,10950,83
22845,30250,27079,86
34515,1156,13027,88
5280,36484,25703,78
35768,16532,192,70
12320,12097,21319,122
36840,30806,17752,75
16778,35613,14759,106
12764,19947,30139,89
34731,36389,36337,59
35406,15160,35447,147
404,27482,363,27
22102,4530,37213,70
33752,5609,8552,61
1266,20006,19227,76
4023,2430,9856,139
5371,11565,18953,45
33198,37691,9181,107
28632,23589,26388,94
4612,1136,9132,73
34215,14701,17302,77
23361,30350,3113,94
7172,1263,16763,50
988,6988,19912,67
1918,15876,22145,106
25825,1073,31778,104
19888,22608,3223,97
17700,12778,38538,70
11476,32576,3254,38
9132,1052,9523,86
21276,13866,18419,86
3371,13180,9921,110
36350,20273,93,29
10842,6218,15304,112
3850,3297,31137,78
10208,13759,37625,109
30048,5024,23409,88
33068,16262,4883,86
19779,33444,36479,84
12955,3917,17371,105
21052,19751,31212,96
22710,6476,29610,100
31623,36152,12913,94
20435,31972,26603,48
14426,14423,34562,101
1870,1598,37994,133
2467,30008,29700,74
4788,15121,775,87
24078,6940,5290,55
7659,18102,26481,78
36883,19911,13824,72
21129,10883,31845,108
5409,37514,21186,114
14582,27453,1740,101
20390,35267,20532,57
22537,12220,19871,113
1781,14004,5550,76
27805,9513,15906,110
32444,29010,31915,72
32697,34596,3969,65
13213,18477,19516,90
27486,38457,4619,34
30276,27471,27279,52
26487,12215,35326,101
29509,25797,6805,49
37579,36082,1760,110
19744,15764,30924,83
13916,19237,4501,43
32548,32307,19830,44
8378,11704,3957,83
38753,15059,29542,50
22529,15012,12480,126
24516,36319,34149,59
10104,25561,3483,109
6494,10620,30513,93
38485,4829,19949,47
37238,24769,29464,38
3809,9151,9827,118
4003,30833,4211,98
33250,29627,27101,54
24983,8739,14512,78
27427,36091,35406,89
21215,27204,25700,103
29748,2430,35482,105
33132,22862,18445,107
22021,34747,1885,86
8457,9317,1258,92
3124,28094,7268,73
14310,7005,11746,59
18492,1114,32706,63
876,30341,38389,59
32682,12029,3863,84
14391,7831,493,91
27161,1029,25506,85
12810,34094,37723,93
29365,30994,22197,47
33351,19796,16110,100
2320,5513,34683,84
23397,38402,17653,83
29650,12138,21908,65
30942,13641,28810,61
30359,14568,23665,116
38563,5456,899,56
19201,14657,4681,72
36017,15997,22727,107
15319,4168,11555,91
14613,17453,38519,73
8296,14489,24333,104
21258,8379,6102,130
5453,7162,28074,72
37147,28150,33020,112
20690,5700,15897,58
29273,446,22731,59
19194,8417,33486,84
30881,21872,9166,70
27153,10088,14746,108
14367,22571,210,97
12302,10913,1844,104
4072,1268,20341,74
8757,25921,12919,110
7639,11758,7815,96
22749,34034,6003,105
1916,30900,26424,74
3095,18480,7644,86
31145,25707,23509,108
36852,8369,5705,83
11276,12988,24488,78
12910,37565,25063,87
31776,38489,35589,92
31954,23338,37170,117
12968,24762,35561,95
8448,10680,8660,90
25604,13239,14532,119
15924,24297,29653,70
29,18518,30990,47
27209,34924,36085,53
33789,6522,37817,101
15187,35435,9878,145
7046,20264,29769,13
26312,15079,17462,79
16666,22720,35615,113
21413,20023,20565,80
21290,4763,21344,114
38478,14367,19707,75
6993,3813,22072,72
31589,34896,14581,93
8447,26595,21520,95
9107,4715,8273,74
18132,18137,9267,73
31612,9979,20750,87
32628,23020,12490,93
22659,25908,27337,102
15855,11318,22804,96
25098,35,27427,24
10873,31075,30850,60
19870,23350,32551,88
37743,16274,13862,95
2312,26740,33909,69
14569,8540,21315,125
4117,20646,27837,88
886,27050,9043,74
10811,18461,34656,64
9832,1965,22179,120
1772,31792,4252,118
35362,19667,5739,100
8594,33754,30162,64
20332,19890,38015,75
25752,6893,15760,82
27897,26645,4146,98
22242,24123,34926,71
13768,8460,24407,75
4658,21777,7007,46
28978,35273,3126,103
29553,35531,8674,90
34844,34129,20745,28
28216,32353,36813,85
11261,19616,31183,56
13870,5675,435,38
14642,37064,16507,84
7771,9793,25906,132
32743,7840,11557,61
12453,25781,18488,97
23500,27460,28662,97
27023,22151,21507,90
11392,23533,34994,79
6935,30997,4231,65
31125,7168,5715,44
12231,18925,21492,102
4232,33795,10576,73
25731,33429,25101,76
20323,27352,21821,42
6938,7862,27314,65
35581,22710,26402,114
25868,34882,4746,69
4174,35390,27254,108
11286,15828,3361,67
10871,36407,33380,80
3261,4974,13864,47
3802,11284,33482,85
34614,36149,31853,72
15114,1092,32749,81
26725,15278,34231,62
17391,13898,37718,84
5731,32010,37263,84
801,18913,35554,101
11503,35575,9436,90
10965,33454,12399,95
7006,15455,55,54
21413,15981,20698,89
17699,27920,1069,104
1143,38570,3384,57
15334,6262,30917,106
1258,28856,17458,88
6372,38519,36941,83
12393,31979,18509,93
4267,2611,10552,112
16873,266,22544,66
9812,12006,20573,89
15877,48,479,49
34824,1981,18906,77
10685,12382,19260,76
22736,2016,25976,131
19660,31842,26667,74
29703,24810,33831,16
6952,360,35625,66
36498,14530,7959,106
1609,20466,114,52
27322,16776,2518,74
24925,15377,18879,60
28822,8342,21169,113
4254,31018,36363,79
18294,19170,8013,82
15397,35491,6241,141
3850,11629,2465,98
3773,2461,15301,129
26700,18915,12834,67
22264,8588,12503,94
24474,5541,38656,53
23398,15311,25105,96
7810,4759,9984,108
8381,5717,38369,57
12843,30856,4109,97
34095,35593,7053,69
20429,4003,3267,62
3789,18941,15901,93
4184,16545,18243,74
9279,16718,28030,84
2562,21396,10255,149
35512,16169,7217,97
3254,13011,14370,101
34036,18050,9370,59
10991,26429,18041,59
18914,24999,8007,62
23556,31912,33462,121
18415,13061,36035,83
3836,14501,23534,134
31063,34195,17542,53
9786,30258,18138,96
2349,29712,1126,84
33002,10227,36286,107
346,12475,35604,95
25261,7896,25143,49
34774,28628,30162,69
37591,1867,37957,134
833,12849,24209,100
34593,16647,32323,36
16171,19507,11499,75
29429,4871,36251,39
30047,12524,19128,74
24284,3505,4899,63
22688,3957,30125,111
24799,17504,32386,37
23316,5433,15329,112
13165,21454,12871,128
23489,18259,15301,116
25148,15091,4157,84
16917,3085,15160,72
10742,11748,9336,61
19775,20683,239,36
12367,1757,24487,109
18845,28759,14717,88
6261,10588,5498,90
8549,31680,13899,80
20496,21998,2571,75
8289,4510,12496,83
27104,18518,23546,90
1884,36031,32263,73
23273,28007,15055,139
24070,15314,26307,82
12816,21024,37812,134
35416,35513,22760,155
27868,1758,25674,128
774,19662,1212,92
26741,18226,10540,59
27876,9145,37085,104
24890,18130,5534,45
2567,25130,3859,91
26671,37044,10972,67
15810,12311,33813,82
19736,33429,30508,85
34155,25589,3931,87
1135,4694,37637,91
10609,19741,24418,81
3829,19219,30386,78
32738,18414,34054,40
11447,2295,15476,99
19862,18901,12373,80
5633,27754,27078,80
13025,6001,15796,123
30162,38492,30044,49
29702,10736,24464,57
2766,36814,8761,112
10118,16056,33403,123
12014,17577,23560,114
10731,16684,9488,62
4586,5559,33103,68
23289,33273,25272,90
16615,20360,24510,42
10600,37584,29505,73
14724,153,35264,101
22587,10002,4109,140
34018,5650,17452,54
23276,38508,13624,70
36364,31521,7716,98
4764,34219,35704,76
3800,11307,17466,76
25558,20512,30810,58
34684,28764,23767,99
21439,31003,16708,79
13871,28525,34912,60
36285,29273,34077,34
28263,430,27775,98
9319,38459,21780,57
15786,33100,31172,90
12139,37088,6818,74
36764,18387,26383,66
34228,30515,36173,52
3392,939,27807,98
3206,2686,30939,86
11414,32702,15795,55
8574,4889,2430,95
35735,27955,33050,134
38539,5295,5495,43
23379,22545,6801,108
16195,29750,24223,70
21498,25080,25677,91
32598,23551,14589,102
23349,16022,35646,142
33426,31703,269,75
10207,5265,22580,119
4684,33515,404,55
1640,22267,8291,102
35431,3316,26328,85
34861,28553,16520,58
14337,11372,12218,88
499,37207,15973,74
28076,32332,18835,70
2628,8514,3440,101
5676,19949,29597,51
37960,12414,13594,94
18891,16508,31136,45
15759,37136,17553,94
33849,18825,10590,49
8007,32019,13777,90
8318,1895,106,83
5585,4798,22900,82
2705,12848,15173,128
13139,26657,3066,71
12347,26707,11341,58
26728,25092,11488,25
37873,18928,7066,68
31725,170,4195,80
12829,31599,12263,109
14460,7671,3975,125
21100,10245,5687,120
14520,7784,1916,129
20301,18159,7957,68
36778,24157,364,66
7582,17499,9433,96
26269,3869,27061,67
7677,27236,29680,62
6103,4554,5546,80
26656,21071,7131,69
4876,22640,16782,74
28270,24240,13689,88
20299,27286,16655,28
1861,14557,2349,134
989,15766,13038,108
30819,10895,3919,82
21440,19172,1044,98
6508,17661,7924,116
27193,787,37961,92
27957,35315,12975,138
4,5587,37827,70
17518,37800,3131,91
13888,3909,6766,60
37007,29593,31267,53
6022,352,27760,99
5627,25687,15369,98
7987,38595,18314,71
34805,28762,34954,64
20343,7181,37011,40
36896,37177,28871,92
3292,12062,14271,98
1902,27297,2396,107
3820,25183,30163,65
16744,15397,28797,82
8671,34041,36319,63
33423,17380,10270,112
37140,38409,37181,67
14440,18980,9021,85
20739,9411,19529,57
10022,23647,35698,156
21169,13799,23360,115
33279,37018,20469,68
22931,7148,19236,72
24360,23567,30155,103
1639,17686,19869,98
34968,22759,3289,86
7143,10933,32375,39
13252,21786,11009,88
7594,15,4924,63
37532,6065,294,98
13907,9905,22061,89
28197,12208,26767,94
35651,19830,19739,109
21057,4703,27271,79
12444,12105,19778,100
24343,1892,28085,119
15754,37030,33480,103
30192,24331,25550,89
329,4855,7077,27
1699,8671,12191,113
28949,36010,29613,55
38724,34867,30023,44
12493,6801,9411,70
21037,16744,23597,113
9102,1158,3931,99
9909,34845,31772,102
8774,25951,23747,123
17699,8431,36112,80
23703,923,17520,110
21853,5540,7098,51
29735,34149,15387,54
22027,18887,35472,94
11299,34684,3298,47
35389,17377,7595,122
33101,1706,11499,89
37546,9275,8592,105
33236,2769,17526,109
35593,37975,23004,147
4870,34017,1191,55
21982,12768,32271,72
37094,33478,30940,84
33109,9343,22613,111
6164,3929,12937,126
24301,14748,35394,124
2331,12310,12207,120
6447,21928,26586,84
15809,28018,27406,98
28740,25097,11432,43
24467,35417,5636,101
4813,19840,6161,89
402,31679,7056,47
29400,25636,27056,57
30862,4516,31912,66
27286,16073,31673,86
23001,28578,21262,129
26601,22671,21362,111
35586,24285,19885,110
3461,1274,36994,83
27205,830,20406,49
24222,17702,24928,58
2266,6884,2625,103
2430,15373,32327,97
32348,10772,9011,59
11020,10567,7857,91
21313,13637,22188,88
24523,31065,34599,64
20500,2744,12135,86
27884,19136,28840,92
14613,32338,933,82
30024,200,19668,56
9968,24018,9090,107
17366,16663,4664,51
4960,5764,37990,78
37963,30113,50,73
271,2577,33913,63
28742,1516,34935,91
18131,12814,8760,95
26306,8344,10645,69
25618,12847,3397,97
31851,28625,3303,84
16003,26299,21523,99
15433,3056,13513,74
20291,37044,27102,48
24963,12879,38363,47
11353,8696,30440,65
3766,4823,22585,103
22141,19140,37232,72
17614,35674,24986,82
8768,25016,25552,74
23010,18272,33138,107
12970,8450,10823,96
32734,27822,19521,82
14757,6338,34910,106
13262,2301,17285,113
26615,30313,4850,48
27155,1914,15198,100
34115,36186,29728,34
29487,30500,16253,63
14491,30021,36163,85
20738,36026,483,29
31896,7243,6207,88
26712,18223,16840,46
21492,13147,13550,102
13096,3909,10941,103
29017,110,37108,67
9498,38603,27864,78
13559,6844,15521,61
18014,36415,25065,47
8285,29615,16781,48
1641,7904,19709,115
6427,74,13833,66
28256,11509,17469,82
7639,28797,21140,123
17440,15163,6017,114
10600,2729,19655,100
33049,4899,30831,67
4100,32260,28581,78
7843,35406,15059,137
29416,11771,31120,32
258,24335,14504,77
35633,12795,19060,108
2306,30013,12106,106
2606,11672,16111,95
9797,20005,13538,92
35463,16051,10100,141
15429,37556,20500,88
943,5686,2604,99
20744,25866,18879,56
24875,420,8371,42
34178,34623,16139,63
29634,33395,7264,46
26404,15868,28180,95
28955,27063,21130,95
26378,21099,17584,88
17737,13579,10071,90
5269,13835,31968,66
32253,6948,34061,24
22924,37151,30807,98
15888,34256,16709,57
24092,35673,18917,98
36086,12971,36354,81
25803,21380,32322,96
13525,17434,11666,49
30355,29526,17322,52
4030,4514,21165,104
19602,25053,35490,84
30288,1582,20591,68
20631,30325,37013,55
11514,6789,24103,46
364,12301,14023,55
35358,9170,5557,99
1524,14667,36080,107
28591,2393,19995,106
6815,6095,15266,95
4582,15824,30094,73
10035,33299,13748,99
19147,33897,12780,64
4666,31747,16515,59
5589,27169,12370,70
31573,15242,29673,79
4205,25543,3448,98
23735,19258,7110,75
29388,25144,2263,55
30929,36834,3156,69
27981,18385,19256,85
22040,20399,9770,78
4534,28922,15426,85
22095,22819,12002,110
14697,28033,8405,121
13547,27996,35335,112
12436,27039,15445,92
4148,5428,17268,85
7767,4179,36445,104
23572,5288,32468,79
25740,1524,31635,116
8444,1659,27834,123
10595,8610,16830,68
34567,8437,1774,94
37101,37518,31253,94
26366,19205,10769,52
36385,24900,7946,67
28870,17263,9154,83
27439,12333,12262,87
3249,15503,28794,91
37706,27977,8472,124
409,5516,27484,40
363,35391,1856,103
4041,21291,30116,112
6950,10564,1011,63
4999,31731,31030,66
8459,4080,4683,87
3204,15142,15276,102
6294,197,12791,92
7234,23380,25789,97
33511,18493,36778,89
29596,37647,30085,71
38336,3210,6844,32
28832,11710,1580,84
38363,18152,9296,55
16260,8455,8720,103
37717,22928,29735,98
16732,9297,17353,64
20732,6210,31643,83
9937,14562,6234,140
6755,21197,35389,110
4852,30067,30409,58
13993,21330,33377,98
5717,10501,34193,52
8252,33988,25238,45
1246,9180,36221,80
13951,4546,28560,57
27129,25568,36083,74
336,37192,19990,65
18181,30861,20442,43
1228,31994,9940,117
25148,7045,36265,31
18162,30239,6143,92
6762,5365,28232,72
4071,15911,9219,104
8459,24468,36915,93
30844,3957,1956,102
12345,17002,18402,70
8487,18832,38302,54
821,29390,19731,64
23523,32023,6006,133
12212,15116,19888,105
6037,18391,12958,109
30816,30843,4638,50
32337,13578,30029,43
4535,6373,5006,75
1609,6768,10881,75
224,9839,757,89
33234,28033,38476,86
6150,6456,31085,112
32420,17322,28682,64
15956,29506,1843,85
13752,26749,15908,62
15264,17255,20713,69
28782,37993,31060,93
26353,3,19080,34
30517,37,22130,53
10106,31986,32258,93
37543,10834,1218,101
23594,27851,23644,150
34247,9410,17338,62
31912,12821,34917,90
3973,13126,4007,119
28719,29415,18478,57
9368,24986,33010,65
25166,28940,7755,76
6792,38500,8379,45
23758,34876,25522,107
21460,3249,3988,110
6159,34607,27921,110
16708,8294,7671,87
10070,10220,24381,131
31653,21894,3028,79
18391,14558,32349,73
34631,25709,36054,76
28892,26691,15024,83
33860,327,28163,61
9135,24929,9157,57
12881,35279,15868,129
22748,26436,27289,76
9989,14544,12162,129
8255,28712,19265,79
833,31801,32484,74
11443,9435,6246,84
1797,32268,3459,72
38253,31073,10551,47
