card_1,card_2,result
16244,6933,40
38340,17373,31
26353,17374,38
4603,31715,38
10766,32553,30
480,22121,30
25039,16029,36
34862,18893,14
12305,33089,57
10081,5665,60
34758,8466,29
36507,6852,23
417,3105,20
28603,32679,20
37050,23774,67
30179,5325,30
27315,16153,37
11250,3829,52
13194,25019,42
35344,36869,71
6510,4882,46
11508,19675,16
36047,6018,48
18436,5363,32
33857,15281,17
7252,31083,17
31825,1510,44
30398,38587,23
7227,33054,34
10731,8596,43
12477,23344,82
1568,8537,41
31890,9091,52
21052,4613,58
6207,30880,42
2312,32689,44
33982,25808,45
13532,35284,69
6878,38709,12
2646,3882,78
27138,27885,32
36788,2296,51
8748,9490,49
29424,13527,17
5412,38447,17
17504,10597,48
7234,12837,46
25953,36086,52
15883,13962,46
7749,27441,20
5704,35325,68
3342,10671,36
18211,32505,28
21899,21989,48
35615,5465,68
15763,16116,66
1517,17387,46
16989,1163,29
24793,11609,13
7840,37237,31
24339,38368,14
28946,23644,64
27860,24873,31
28680,3312,26
5720,27189,16
22744,5263,52
10135,8573,69
27279,3415,18
31672,9159,52
34716,16034,41
10751,29518,26
20703,13710,15
31225,25939,46
37043,3399,29
7698,33386,43
5402,10018,60
32502,37750,32
28627,17487,38
26623,5304,24
17254,19535,32
38491,35518,61
19837,14273,18
16677,7166,18
11704,25178,13
27017,26618,16
33405,30160,45
19765,23722,58
387,3375,20
1022,9765,66
26699,31975,36
22986,6399,72
13514,35437,69
15774,34656,41
19746,19064,12
5382,37773,36
1587,18433,40
4048,24078,51
16853,10802,33
34568,3028,22
6363,36283,48
233,21356,50
22217,13134,63
15287,22601,48
15419,33486,35
33870,25213,12
34556,36286,24
1202,18787,24
7634,18879,22
13581,459,19
17558,11664,36
7774,26772,28
13589,1234,31
33021,33935,36
32023,32719,32
9433,14573,40
15172,27469,12
30464,10110,66
23614,22688,92
8397,24192,30
18830,8660,27
32556,11552,18
22066,20290,26
36840,14731,27
20749,24917,5
36220,14402,28
31019,38688,15
11730,16586,21
29469,27412,8
36956,386,21
22018,37876,48
13029,32451,47
12288,3287,44
36321,20768,18
16205,35730,89
4171,18257,62
24455,38698,14
27126,27287,8
1,4139,48
1165,4793,32
33786,18147,29
10829,33416,49
22692,16642,51
19508,7226,13
14347,23766,64
3043,33971,23
22749,14386,52
31233,19910,16
5383,18922,18
12911,15220,47
7727,28570,28
30406,1889,38
16757,168,17
19916,19614,12
3293,18423,34
28856,21026,56
26383,17682,38
33075,24054,36
26252,37558,36
3518,27826,42
1025,22144,42
28634,3850,54
1994,29670,24
36360,37896,40
15112,28604,20
22815,14011,53
16063,34249,42
5495,29348,16
32566,13879,21
2640,32405,44
38330,14348,17
23659,26695,64
19867,25584,42
34253,36336,25
33247,28744,39
36786,38526,20
17270,17253,52
10869,3863,64
26255,28769,24
22838,5598,52
22539,35508,96
34881,5400,20
9083,19648,34
18821,31783,30
926,23550,70
33794,29734,13
1926,31810,44
12310,14499,42
36095,8024,32
31508,30801,34
148,19728,12
7732,12854,55
35663,21140,100
17593,32441,34
18775,22556,46
34506,12311,38
14558,32709,20
16857,5003,25
14435,22820,52
25983,6160,68
31819,16855,35
12973,21225,83
7612,3210,30
37050,4130,57
12234,13583,43
36518,11313,26
4861,7140,21
13146,2260,75
26485,28572,24
26632,30224,30
33083,14402,39
33263,35548,83
1975,4235,62
14725,34084,21
31196,15255,18
30109,34227,27
16029,11602,43
12429,6064,62
18028,28110,48
6871,31024,17
27953,1596,48
348,23416,58
27283,22105,28
28775,227,18
33242,7793,43
4610,34224,23
4868,29725,18
7760,36428,32
33448,12946,66
13266,28784,51
16703,3140,25
18841,31936,30
30797,36502,26
15947,30061,51
7578,24357,25
26721,398,18
29595,35291,60
22987,6184,72
30324,35489,74
6790,30273,25
14406,14482,24
8741,37501,45
36408,7845,32
6240,6104,64
18256,37921,44
38501,36116,21
18115,6168,52
25183,31003,13
18451,37248,35
36063,28562,28
17397,16610,37
5600,31057,22
5621,1109,30
9345,32514,36
33776,946,27
34103,37700,33
2254,1177,54
28800,36759,27
27301,32644,12
7160,28853,19
25943,15501,44
38662,24219,14
28757,22580,52
34732,19982,14
35702,6071,88
31961,21170,68
16926,10040,59
13962,22127,37
6496,3053,46
795,11389,28
5640,4003,54
36859,10549,37
3195,35674,70
20278,7804,18
30858,9405,38
28064,25983,64
9018,21782,52
29002,3486,26
32013,18941,30
17594,33259,53
10073,9337,76
6875,6215,39
29508,29320,8
16941,19152,17
10934,18891,28
3831,11306,52
33082,25734,63
1262,34016,27
31557,8732,45
36011,25733,52
30059,38620,23
38504,27248,9
11741,35455,66
33123,31689,51
15236,27084,12
38346,21447,49
38515,18231,25
31563,15233,32
31056,35274,66
33309,29390,31
1805,31816,44
36230,6470,48
7884,18120,36
7689,4256,58
15103,2556,44
33488,26590,39
18251,30856,30
21355,14003,57
38745,25782,41
17524,22903,66
24352,9814,57
33987,14417,21
37083,4656,29
33882,15240,17
121,1846,26
21838,1564,44
16035,10759,55
3832,4046,84
6993,31783,31
6955,38708,12
21887,16204,57
2442,31161,46
26346,27510,16
23743,19260,58
20346,16969,13
16977,20578,13
19073,38598,11
25071,16913,14
33371,29600,31
21224,21126,88
5594,23255,64
5531,379,18
27361,29606,8
12487,5735,42
11570,21273,54
12379,21794,54
417,28037,34
50,15149,14
12967,13848,52
8282,37139,36
32599,7226,15
34719,15077,16
21006,11756,54
38642,21207,49
19008,3891,48
27130,4138,46
24236,25813,45
1008,25989,54
35645,33251,83
13191,13890,52
33830,19969,15
19190,193,12
13869,22645,53
9397,36116,44
38622,19852,11
7682,3371,30
4247,8395,63
2363,19512,42
16188,31204,43
37675,36858,39
12764,32639,47
37742,7163,31
4965,16711,25
30017,3017,32
22637,10004,88
10159,30276,66
4804,33130,41
37051,28612,27
13046,28582,51
20333,25,8
11449,18799,16
23023,38335,45
10793,22705,62
12952,21028,83
23298,27156,56
12946,28683,51
37600,25738,60
7003,10259,55
27039,15915,37
28523,38341,17
33218,6949,34
5529,6111,44
18374,35270,76
12274,22601,70
6211,35562,88
19244,9478,34
28074,13822,41
38757,7833,21
9796,13730,61
29682,7008,11
21765,19133,30
24960,32633,11
21313,37592,68
5305,12878,51
6079,36855,47
25211,18812,9
4775,8741,35
9472,13971,41
13076,26396,51
32754,7900,24
32756,22087,32
27479,19649,10
13522,25103,16
30856,25980,46
5340,38545,17
33862,8584,30
38014,21509,68
27522,26510,16
27107,31795,28
7573,7948,32
1569,7903,36
4505,7601,30
2646,2470,72
23751,33090,79
34897,16696,19
10930,1559,42
18169,8353,41
11570,24805,13
36371,372,22
20606,21156,46
7745,14741,28
13571,25668,49
10236,37717,72
6909,15834,40
18093,19087,26
30061,24202,27
16540,15125,19
28137,27223,32
16023,21155,77
9072,27279,32
32280,30176,26
28689,4097,54
25081,16863,14
21092,30167,62
7602,16896,27
31047,15905,43
1134,36443,34
7137,18362,27
24351,29774,13
24037,33315,36
9975,12102,78
6813,8475,28
9315,34761,36
13923,34087,22
4605,30286,32
3800,38379,47
33974,30365,27
12323,28533,42
35659,4645,70
7740,14377,28
35647,32281,64
29488,27368,8
2385,34126,45
26445,12772,51
1767,30249,38
31622,191,30
19753,31939,30
20507,30396,20
13941,25230,16
18912,38293,11
7718,12941,55
27773,17023,39
6002,1876,52
7924,20475,18
16182,12123,63
4998,14376,26
27923,15999,61
7148,12325,37
9187,30161,46
18056,28084,48
22596,8024,56
35281,15462,64
3104,10155,62
6340,37522,56
36762,35412,71
36428,8647,37
24428,24253,18
30042,29529,22
4514,31686,38
8646,6307,53
1524,23017,60
23752,38282,57
14651,27024,16
10034,19072,54
18017,14433,32
12054,21879,54
32673,7510,24
20610,30019,20
34067,30445,27
9419,18839,34
7238,9409,35
12180,4968,44
21106,32724,52
30846,7844,26
7571,30950,26
1875,7642,36
25973,11592,46
34078,7867,25
12419,1225,48
16979,19762,17
30964,33939,19
2552,5654,48
37890,33360,51
33924,23375,61
19917,8695,27
31901,26348,36
15441,3037,22
12862,5480,51
6890,24228,16
12354,13744,43
29712,9149,32
27437,8655,25
29606,26322,16
2501,21304,80
22050,19759,30
17002,27071,15
14433,6471,44
26341,21791,36
7169,33332,34
16158,35625,89
28571,4031,54
427,17280,32
31827,5022,38
26279,11468,22
18263,13018,59
31967,17654,50
36346,5388,28
35650,7529,72
33843,6496,41
30206,11430,28
36481,6067,48
35660,37825,80
27266,36236,20
9939,16206,81
26669,18025,32
35617,7628,72
12292,5261,42
27325,15433,12
21247,10802,66
37241,25078,18
19877,3023,20
16672,16146,44
34822,35542,64
27272,9865,52
15173,3415,22
31532,37183,39
15302,1021,26
13235,34273,48
4125,23006,82
31715,34262,33
11494,10554,32
7598,17664,42
33391,35663,83
28823,7274,19
27887,22505,68
11023,3815,64
16673,37056,26
2621,32748,44
21293,17420,70
12757,36482,55
37196,35262,71
6375,15515,40
22673,34062,49
5762,10982,34
7967,13233,55
11341,30140,28
14437,275,18
30445,2306,54
24326,12832,48
15859,31753,57
24130,34934,17
1522,27831,48
7544,38418,21
22187,11480,34
11371,9179,38
15273,26308,20
36279,15855,49
34813,35726,64
10672,35480,78
6320,15831,65
34709,22917,48
13819,9945,61
31043,11740,20
7556,25059,19
34028,34824,17
35626,16947,67
23742,16105,85
17379,3236,40
14393,1792,32
5716,9458,40
30280,30174,36
33420,18116,47
14452,34165,21
5417,24809,15
38737,18827,11
13105,14454,51
31652,18014,44
36178,10527,38
1702,31085,30
37750,19215,30
11736,16849,21
2444,1570,56
16196,4700,47
17387,19968,32
4062,28122,70
2000,38272,25
22107,19759,30
264,7058,13
3186,6759,21
13761,33443,40
37783,33212,51
3339,31095,24
4770,16972,25
37701,18015,44
32643,19164,14
15992,19114,39
28545,32729,20
3160,36387,30
37253,30960,25
30444,10120,66
23498,16795,63
16126,20455,35
21877,37780,48
21854,5386,36
10140,34864,56
11312,12161,40
15439,10975,30
29467,6304,36
18927,15930,39
37123,4196,57
22806,37001,55
1775,32530,28
32414,37202,23
14666,38655,17
32371,26385,20
18028,1880,40
35611,18000,76
1130,34973,26
28746,34761,20
24880,13735,16
32707,22733,48
12256,28864,42
34189,37506,33
36820,34259,24
24438,34959,17
18916,15112,14
24395,27505,13
13859,1855,33
2523,27883,64
32266,10074,56
19112,24124,15
35557,7575,72
5549,18906,18
30170,9772,66
24393,8383,30
3924,9047,70
12322,34900,38
2350,1252,54
31994,25887,60
18031,21004,64
26744,25057,15
34810,13584,21
424,17316,32
26690,3177,26
35475,3935,98
13631,34028,22
26572,25963,48
6519,9888,80
12067,3961,72
16511,12488,41
17442,13587,39
7588,11004,38
15831,31780,57
19732,25891,42
29518,37935,28
4187,31863,66
38261,11700,15
32418,21756,32
15844,10809,55
19909,30111,24
5726,21427,56
264,18450,26
6332,3398,46
27176,9277,32
10065,21452,92
24231,18118,29
3507,12074,44
3381,33300,41
35375,10956,78
21872,22181,48
18399,13974,33
28617,16543,23
4866,25192,17
30484,21842,42
6059,19023,38
9752,8615,69
28922,16825,23
34156,33049,36
35503,27503,60
30426,36207,34
22230,16856,35
28963,13168,51
36184,23734,68
7932,31745,40
2491,12148,66
30867,999,28
973,35365,74
10223,6940,55
29308,33845,13
16862,32524,19
18899,36278,22
10610,3918,64
7271,8014,23
12809,57,45
22230,33803,33
21778,1854,44
5627,11000,34
23660,961,70
38709,289,11
18977,19522,12
13792,12343,43
30779,24306,19
29537,17371,30
14566,25527,48
12363,34214,39
37712,20729,26
36122,36283,32
12055,22834,70
8269,33829,30
5536,34667,20
9117,786,46
2387,24829,39
6759,13977,20
28039,10206,76
18965,28899,18
4128,3312,56
37043,31845,39
38702,12210,35
18841,24481,15
7042,19818,13
3909,18976,48
29284,30857,14
29365,18369,24
10160,33460,75
38631,38484,10
13880,58,19
7758,21102,60
34112,29556,13
36453,37511,40
3227,21973,38
38269,38681,10
378,19051,12
5467,26280,24
17687,21296,70
31675,18952,30
22155,8731,45
7236,3011,21
36775,2653,51
33250,33373,54
4632,10987,36
37169,4753,29
36865,18052,35
25998,36761,51
34958,3253,22
362,33870,15
29594,31143,14
11646,4899,24
24799,10683,25
4818,13526,27
21106,9040,72
6105,24283,41
19703,36280,22
23483,19601,58
31176,33412,37
4637,31047,24
20265,31899,26
8534,11695,31
17562,23608,78
38384,10039,53
23651,19089,58
25992,3236,50
18128,29330,24
1271,30860,28
11331,37166,25
19164,25535,42
31137,6817,17
16029,9321,61
21909,22146,48
11769,8479,31
21511,37819,68
31078,27887,38
37986,27450,28
17571,3388,40
35771,16809,67
33317,31535,51
15788,18478,53
29332,493,10
19574,36282,22
21009,3119,58
4519,5740,26
25688,16810,47
7671,22627,56
29483,34593,12
9848,31086,58
12467,13656,43
27433,4104,46
30953,28514,22
12109,8389,51
30040,33147,45
22003,9517,52
26438,8487,33
33111,810,45
22621,23751,92
7724,36121,32
36494,12774,55
1593,20386,22
29421,28097,32
190,18100,26
28822,8599,33
10208,36259,64
37132,17728,41
35357,27444,60
10787,6299,54
19501,12380,36
10799,7732,38
21870,34805,32
20477,29479,6
35281,36994,71
3078,13186,53
33933,25590,45
3425,18156,34
19908,21786,30
23361,32372,60
24176,31902,33
32265,34208,17
37991,14338,36
22195,33240,51
5008,15349,22
14531,19749,18
207,13563,19
1103,24008,27
12991,34967,47
36502,32729,24
34925,22976,48
28898,22115,36
37582,35696,80
30818,11480,20
22258,1904,44
905,14305,30
23277,16585,63
6954,9883,55
34944,9236,36
26535,16615,23
31890,30048,42
31164,37932,34
9000,19845,34
8770,13093,60
2571,13256,75
36324,6292,48
24250,21865,33
25849,21403,80
21157,38418,49
24913,26759,15
7792,27952,44
37157,18297,35
3404,20295,16
19192,35504,62
2480,29289,40
33097,1616,47
31098,9876,58
1251,24425,27
4745,10788,36
2655,6759,43
36957,21150,59
27106,7138,11
29552,17479,30
7017,16547,18
4161,27889,70
1881,9107,48
11729,2409,46
28580,13531,25
375,34912,14
21831,3960,66
28116,16189,61
11584,33145,37
3455,8669,35
6787,29731,11
4851,10178,62
14017,23456,65
17005,2647,47
13787,5427,25
5564,11550,22
13096,3229,53
29458,25133,7
32384,859,26
35457,21179,100
21905,10628,46
24172,12258,39
31792,28563,36
22842,29608,44
28100,19765,34
30270,31022,28
15216,22702,48
25602,33980,45
14338,12334,42
30023,13718,31
35430,22742,96
21212,3455,58
23704,6823,59
18377,14673,32
4648,13933,27
16784,20490,13
7049,21412,51
37507,17343,50
22607,4135,82
23650,38743,57
19005,31141,16
33388,19876,33
36510,19767,22
2619,25899,72
126,22759,46
502,35438,62
25054,13545,16
30391,34729,26
37513,29431,28
32706,19553,14
14368,11324,22
31819,37030,39
28025,261,34
14644,5643,24
6304,8659,53
32530,8259,29
28932,18990,18
30277,16125,51
21450,24251,53
10789,33334,49
38601,24188,14
36059,7003,23
35523,21444,100
9265,36834,43
29401,16610,15
35542,34798,64
13638,8382,34
25807,30242,54
26472,21089,56
28664,250,18
34016,7029,16
17006,30858,21
32715,18222,28
20277,19520,8
23413,33804,61
4794,24760,17
16099,22151,57
34583,2473,44
29488,36016,20
13233,7964,55
33234,1021,45
18088,989,38
24510,12820,48
27908,36357,44
34220,33514,36
37217,1135,33
14438,10134,60
34151,3225,23
28205,19817,34
2013,32267,28
36233,17627,42
3782,38315,47
14522,26762,24
3364,36379,30
21904,11680,34
6129,29300,36
7508,32439,24
29017,18188,32
37954,12347,54
6036,25709,68
17352,31022,36
4672,37162,29
12840,16235,72
24451,34080,18
21979,27284,28
24207,4966,23
16719,3239,25
14711,22700,52
28230,25549,64
26503,12372,42
6426,38398,37
26722,12775,51
28086,33752,37
32762,9236,36
15024,18059,28
9911,23370,100
9960,20279,50
36159,33449,43
25160,4553,17
27449,22957,44
18155,21859,44
1780,3417,34
32588,10804,30
29474,32261,12
11292,36776,25
5541,22760,52
777,20013,24
23464,9954,100
28225,31186,38
16057,4788,47
15767,6461,65
28545,34551,20
30080,9162,46
26481,28143,40
5010,20421,16
109,10247,54
8366,862,39
12195,7965,46
35282,9979,104
30146,8635,39
34178,6868,16
27930,28590,40
30153,27922,46
22654,24002,49
15126,29270,12
19924,10944,28
22700,32501,48
6868,1571,27
15448,37783,32
38490,3250,19
7738,17481,42
9496,35421,84
7085,36498,23
9784,33881,57
34923,38594,13
24514,33243,36
22530,20366,42
36175,36265,32
8383,26760,33
7537,10066,64
13185,18097,59
30291,32464,26
34540,16097,41
22049,35405,80
26715,15903,45
36048,12121,46
29263,16694,15
18282,21084,64
22991,29258,44
17721,334,32
14017,10605,35
38406,4585,19
2341,12839,75
28744,22650,52
28143,26481,40
30318,7879,34
13553,2697,49
5511,34125,21
6156,18802,38
32485,38310,13
7677,20680,18
27839,32757,36
13748,24905,16
8437,36092,37
32465,2419,44
29316,7212,11
32693,15950,41
36154,9964,64
11579,32515,18
37163,20287,17
10634,19671,28
30852,20555,12
13167,8378,60
5693,30510,30
32729,10960,30
27301,36247,20
23759,36463,68
32251,22634,48
36017,13039,55
13884,30401,31
7566,14432,28
6183,7192,39
28588,31873,36
13584,1953,33
15131,33436,35
25987,19868,42
16594,28856,23
23444,1726,72
27401,13571,17
18949,142,12
37908,33472,51
17015,33377,38
17377,10139,74
13032,10747,61
20428,38366,7
24101,9979,57
3791,18302,62
19552,34861,14
25600,36911,51
12416,34630,38
31799,22004,48
9495,6803,35
7252,17545,33
31741,28600,36
20303,7011,9
9846,10697,70
12463,8528,51
18793,22926,46
3898,30008,60
16613,3917,53
19935,14668,18
21275,29330,48
1704,12503,50
33981,31140,19
21130,26670,56
22522,2540,76
10063,15750,81
13172,33007,66
10769,7110,29
13586,38572,18
18477,10780,42
5418,2769,48
19085,15367,14
31785,23710,76
12431,5268,42
37536,6854,31
11661,12484,40
6799,23299,59
13939,4740,27
8582,19822,27
5712,33790,21
13744,36187,29
7050,10742,29
31042,21256,54
1684,296,26
34562,29323,12
34625,12319,38
26613,36034,28
8019,36965,31
33183,24178,36
19704,36896,21
4671,16964,25
26665,33431,39
25092,18813,9
55,31666,30
5689,21090,56
33809,17691,35
25782,32022,60
6129,1816,52
16057,8570,54
15790,38625,38
3072,38356,19
7531,1994,36
7744,9820,64
25070,35549,59
1944,35001,28
30456,4842,32
32619,16859,19
21468,25125,47
12969,448,45
7,7828,22
22271,10881,46
26773,5567,24
3882,759,60
15130,2721,44
1149,21943,42
8380,30262,39
30919,18049,30
36102,23763,68
3751,16761,53
10897,23253,74
19668,16967,17
8467,3917,63
31648,14608,36
8326,32252,29
4810,8316,35
4688,36499,30
25772,11494,46
19773,9487,34
28892,12916,51
18986,13237,45
19210,18488,26
3980,34593,50
25979,24424,45
4224,11280,52
10689,14471,34
13625,497,19
18241,11000,42
30520,20504,20
30051,14626,30
13943,5309,25
4089,36146,58
10975,29523,26
33341,21241,71
25647,6150,68
15974,37016,48
15136,8442,29
6212,34191,41
24921,35651,59
20288,28098,30
27271,25838,40
33912,4899,23
6340,33210,59
35574,27922,84
28141,15860,61
13058,31552,63
245,12371,36
25701,18299,56
18501,1749,40
29529,13077,43
21915,21149,68
28089,36260,44
34823,3027,22
1086,7196,25
17545,6117,58
37274,13920,28
11274,28972,22
21938,28512,36
3440,910,32
22708,10825,62
22601,27299,44
10030,27967,76
11709,13536,23
33104,36768,42
33335,4617,41
28058,5437,40
34074,293,15
30145,961,36
34656,28862,20
6882,8474,28
31151,6799,17
35405,25145,59
19773,32500,14
30836,1,16
25979,47,42
7136,29268,11
14290,23312,64
22014,13987,37
15169,17327,34
25004,7017,10
9472,38410,33
21421,31765,68
13130,18042,59
1942,10764,42
18429,15811,53
15401,24452,17
11285,19978,16
16720,8555,32
13251,12246,69
36873,10019,63
5000,20544,16
895,28564,30
5588,4169,54
22129,24098,33
38409,3866,47
28896,21855,36
25620,7918,52
31050,33088,37
13763,11678,23
17770,5597,38
25684,25924,72
34206,10526,31
33064,26520,39
21232,7516,60
6130,30450,50
11706,36220,26
7687,35297,72
24874,5346,15
18518,13136,59
3799,13172,81
30054,4889,32
8297,5337,33
20392,7524,18
2644,19046,42
26708,9892,60
9445,13882,41
24211,35375,65
23390,22995,92
27976,11715,38
31238,28813,22
4007,7867,58
22237,9511,52
5637,9914,60
11765,30448,28
31196,22226,34
826,5403,30
16820,20575,13
19892,27114,10
12337,20579,32
29712,37260,19
32626,4097,50
24987,18880,9
30969,34913,18
20415,22678,42
24165,6282,41
12980,34070,48
7899,13717,29
36297,32015,40
20533,31089,12
6114,36129,48
6370,25106,35
16965,13087,50
22645,12932,79
8565,4101,63
4056,6520,74
975,10866,40
7970,18350,36
32335,21093,52
4729,19786,20
13734,10644,35
7147,19777,13
15498,38287,13
38399,16502,16
7842,122,22
18897,33171,33
12174,29630,34
29285,30011,22
29263,10729,26
29620,30972,14
34939,21854,32
28794,30222,30
6351,98,38
21449,8531,65
16709,2752,47
1242,21079,62
37762,10840,46
15277,20459,10
31608,27366,28
24236,23329,61
6025,12079,62
12251,7846,46
13260,3170,53
20728,3157,16
17482,3332,40
15264,2540,44
38699,37274,20
27007,20316,6
32369,15999,41
18966,23428,58
21899,13147,63
25063,25967,39
14454,18332,32
34935,14736,20
7692,1534,36
13539,25831,49
19108,26452,18
22546,38747,45
22993,3413,54
5255,38673,17
5268,27771,40
17286,19818,32
31859,30111,42
25501,38250,41
20334,12012,32
23468,5379,64
27197,6227,36
11731,1683,30
4101,9000,70
7826,26676,28
5421,1124,30
6947,28846,19
2548,12166,66
2318,36333,52
24201,34568,17
4130,15404,50
16747,21495,55
32266,17712,34
27396,31667,28
820,12314,48
29305,7692,20
12900,30100,57
10682,30778,32
32571,8511,29
3128,34718,22
16029,35375,89
8271,15091,29
963,13970,31
35450,4183,98
3943,1193,60
38272,35489,61
33372,12438,57
36837,12332,45
33140,1680,47
34052,6326,41
20553,32724,10
4151,23633,94
2352,6890,43
36859,24162,24
19182,18802,12
30779,5284,22
27428,26597,16
27782,1240,46
12849,34062,48
13076,4825,53
24332,10267,57
16654,12999,50
3261,36808,29
20270,10893,24
18117,8755,41
7743,924,34
10177,29730,52
23722,15427,60
17512,13659,39
31617,13675,37
31519,24270,33
1840,481,26
8560,9373,49
15331,6984,15
16533,25982,47
34768,25690,44
25867,8753,57
21300,35447,100
36137,21252,60
9083,34777,36
29730,9930,52
9186,22930,68
23024,12392,70
894,38428,23
2354,7877,52
24205,31008,19
22001,12908,63
27295,37123,19
15886,23728,85
30282,7857,34
31268,37069,25
1614,2456,56
34055,13500,22
6259,34782,40
32513,417,14
24146,28700,21
36836,9805,63
28021,11648,38
13092,13761,52
30759,1819,30
21973,10576,46
35476,35254,112
30990,18269,30
38336,1114,23
5529,15889,45
1778,2632,56
4885,36169,30
30333,27133,22
8660,22765,61
11424,21516,54
24953,6361,35
19032,38658,11
9943,24454,57
1048,11773,28
25063,28256,31
14507,26001,48
22026,33918,33
10144,19549,54
21797,31057,34
11725,12841,49
205,31164,16
36449,4750,30
15917,823,51
8351,34183,30
19725,15410,14
38736,3305,19
3256,19006,20
21823,12505,54
435,37693,30
22758,31759,64
24904,30338,21
36386,28644,28
38457,21947,29
27106,5591,16
8645,10063,69
12471,36377,46
38702,28179,33
25674,12062,66
33993,36038,25
35756,20492,58
17550,10178,74
33301,18782,33
15755,12989,72
7192,35363,63
21287,37121,59
22783,3207,54
13525,27416,17
6946,22884,47
30825,29292,14
34966,5578,20
28814,6086,44
1639,27162,24
21751,11641,34
31912,30295,42
15075,22727,48
31685,23690,76
34598,6912,15
5657,20507,14
10096,37989,72
6826,15152,15
2670,14261,48
22790,33523,67
19639,20,12
36891,21820,39
26559,30486,30
29534,19607,10
30419,1191,36
26606,8583,33
4012,1263,60
8564,19224,27
35555,15511,64
20736,9125,30
26422,22602,52
31893,22257,48
23701,7157,59
38658,36254,21
10088,2456,84
27479,1591,24
19656,9774,54
19923,19244,12
29350,11469,14
10843,36035,38
37692,7630,40
4269,33988,51
7104,29684,11
16883,4691,25
15774,21189,77
18014,7181,27
1620,38429,25
30414,5674,30
18880,4742,20
6345,4516,46
3220,8013,30
13782,19011,19
6172,12262,62
10219,26001,84
19521,21020,50
20293,19750,8
6796,5303,19
11,32310,14
1978,16574,31
11306,16066,43
5575,27302,16
21326,22020,68
5379,21006,56
11627,10644,32
5487,3446,26
22732,27922,68
24878,29616,7
23283,36150,68
12374,17415,56
27114,9926,52
20475,3223,16
955,28781,30
18066,29472,24
35278,23729,108
13189,11653,49
25068,20725,5
23366,25216,55
17591,109,32
26643,13591,25
7586,5018,30
31725,18290,44
29766,15998,37
7226,273,13
30762,25591,46
33932,9221,37
20458,21093,46
35254,27278,60
29516,6259,36
953,27176,22
10580,12849,61
33776,35307,65
13598,27333,17
33935,7729,25
25539,2020,56
13125,31664,63
16733,3033,25
7560,27417,20
11638,12153,40
31929,21266,68
28026,12785,67
7001,23577,59
6233,5524,44
27449,4800,18
27465,9984,52
7580,25716,52
8268,24935,24
489,4997,20
35002,25154,11
37096,22564,55
8704,23297,73
11500,18981,16
238,29580,10
28756,4990,26
38659,10870,27
12040,7956,46
7687,33141,43
14625,3968,54
30758,28033,38
3891,22915,82
21126,24392,53
18365,6977,27
13797,21302,57
27212,5601,16
22849,10015,88
37833,32649,32
25101,21475,47
35268,7762,72
30170,35335,74
24860,27000,7
28067,17367,54
3096,13913,27
1666,24763,23
13925,17741,39
37945,1140,42
19911,2753,42
4728,21185,58
35410,13223,95
13864,33218,40
18434,17350,46
14667,9412,40
6245,1995,52
10575,23573,74
21169,13164,83
3865,406,48
31684,28931,36
5608,37253,27
25596,9835,84
12844,30851,49
8659,27456,25
12433,1685,50
10798,18892,28
18057,22040,44
3803,12074,72
