card_1,card_2,card_3,card_4,result
25994,33227,32688,12753,120
32001,28699,31221,29511,86
7720,7574,26524,785,130
25744,19259,27499,11322,79
16703,17448,20000,29342,69
34225,19570,15129,3877,118
36993,14591,3397,26662,105
23728,24997,31038,11561,83
25633,22236,27471,4711,92
3922,32642,34878,4732,79
16773,34733,5698,30900,65
22077,24451,31236,17709,98
3273,1025,1106,33350,119
31187,13021,38400,9367,89
18233,29458,24147,4969,70
6971,38532,5277,9013,58
1160,5005,11311,29558,60
28572,24015,1074,16781,102
24969,33169,8593,5602,90
13079,895,22671,19537,148
4081,25153,6173,21387,140
37888,30373,29451,33761,80
1766,7094,6291,22915,147
28097,26506,27875,16646,115
6469,36248,31177,20512,88
23018,26324,3969,19526,129
37899,21018,28971,28764,155
17271,31511,26648,7660,115
22967,24257,252,34985,101
6336,21754,15417,25086,116
17566,37679,9225,4089,138
11712,9796,17469,1563,131
38544,3914,9229,15980,109
27330,4510,29005,34136,68
7093,18215,13978,13898,56
38309,21962,33189,2630,113
26586,985,14516,28528,116
36845,2544,14419,14665,163
22205,18893,37960,31860,120
16891,13992,9324,20295,53
12332,32540,31887,20604,80
30242,18951,21454,37108,119
21425,34969,13766,4035,120
10665,24955,25591,8710,98
12184,33087,25129,21390,124
23362,32743,27756,27035,121
29766,6821,13759,27770,70
30257,25676,22521,28661,139
16218,37031,6020,33473,150
27493,12464,33410,10215,137
800,26525,4231,11284,94
4087,17749,6459,3404,133
13616,918,9504,37949,117
25751,27760,33288,36003,140
18308,30383,4171,34784,102
8294,21108,33045,13973,131
17522,36925,31558,15032,132
22004,146,18856,33262,82
5301,14544,26746,27245,88
20668,30915,5383,10204,90
9151,28055,11482,32744,91
21782,26442,33299,22549,121
20348,35753,30784,25115,76
22551,19775,19571,20017,133
6899,19071,33908,13993,45
3354,30399,9299,2599,117
4194,36987,37807,13588,129
18021,16751,1097,29509,70
31954,27052,34087,17694,84
8405,1867,25038,35453,133
31093,23340,27043,18923,101
33317,34552,1849,4052,136
3408,21251,12416,34172,115
19716,4663,31100,34674,77
29685,33206,14667,18896,97
21482,36002,5518,32633,98
14584,3436,27270,33776,86
15773,6395,14388,13976,139
24168,5501,8674,32280,89
36957,33454,28144,17021,123
18328,21354,8329,24294,135
12234,32633,6111,1775,135
1598,3144,17287,28152,136
16869,11305,36475,14418,84
29490,9365,36784,18517,85
15948,17354,10066,2634,162
9503,957,14453,27771,147
31876,9229,9888,21085,162
33880,7162,32255,3462,44
8767,29546,14277,32750,87
35661,30813,12926,16822,121
2583,22773,122,34888,120
3252,1897,33476,34685,116
5539,3232,30292,36793,92
22748,2755,36849,24163,157
31876,13777,4678,12434,97
22719,35365,30081,35597,177
18780,31749,19969,35558,131
13892,32573,20498,9945,74
18467,24838,16562,36209,58
35614,23288,27913,32419,159
33047,19088,18848,32395,75
7696,7864,33496,6007,168
13643,13852,11774,12814,75
26669,2000,21391,9826,157
34786,27986,23543,16256,152
15044,27252,17279,33204,117
16199,27085,30477,4884,88
23525,15344,20446,3799,135
13570,3774,34895,20266,72
5347,8405,25559,24296,119
22982,25139,34973,26566,81
19784,19114,9455,27806,117
31579,8390,16570,5722,97
25624,6876,5512,12449,100
516,23375,26,23547,116
25533,33214,14445,34196,124
1114,4665,37543,31772,125
16616,28776,28036,12322,123
14388,20507,20457,35679,99
7746,25963,34117,30076,112
6977,8624,13596,35736,106
12199,28157,2267,16211,167
34802,28096,36359,159,90
21281,25989,34546,34740,122
30841,35612,5743,34867,107
22071,12115,24014,37632,135
32737,30925,16218,34594,80
7984,8762,20641,7108,85
20608,455,23369,25128,63
10562,21490,7745,37926,162
34083,24850,28509,22940,91
10801,14607,284,30522,94
21783,19033,19843,20438,71
11258,28013,5411,8637,108
6463,16002,20354,3243,106
27381,25128,16224,6330,102
24941,8445,9253,29321,67
22690,22032,19825,29349,106
35502,11482,12934,37972,147
16956,36019,32369,35393,93
3244,9070,9856,9202,125
13216,16745,12946,37589,134
4869,25784,27473,13833,80
31586,26364,29764,30123,72
31820,1645,12013,24840,117
37117,25514,28897,33139,134
33464,23264,3873,33096,162
34695,29599,8586,23656,106
15240,19506,20307,8356,104
19901,10674,28897,12070,118
34218,19140,4000,28100,111
3345,19684,22780,26652,109
23661,33204,34800,35306,157
15751,32284,16902,23645,108
16737,12173,33837,31935,90
11758,11462,24243,31140,67
10090,15223,35003,25766,147
16751,34953,23430,23692,132
24804,12206,12053,7837,118
29449,7762,9868,5680,117
11673,14413,4091,6885,99
23297,34108,38570,7908,109
20621,12942,7902,16571,95
33844,16742,13012,18467,82
36435,26686,37251,27845,110
19652,23564,28044,25044,129
6966,31553,18025,15515,105
23337,7570,6760,17642,128
21190,12931,32538,12184,133
37765,10788,11431,31836,113
23652,27000,14409,17267,135
11259,16217,15354,21364,138
6322,25018,25872,21773,113
35680,12123,30919,8500,140
37549,21783,30093,10909,116
33421,5447,18838,23260,122
22780,4592,21140,11424,123
7248,988,356,18809,61
17567,4196,12184,27344,117
22001,25570,31873,15907,134
246,29324,28710,29556,44
24447,22175,23343,12319,142
24145,38328,28143,38721,85
7763,927,9327,2434,150
151,24030,6899,16638,53
35024,10223,8649,9114,128
32329,1810,16178,6309,136
5605,7010,13176,18416,88
35762,10661,3119,30302,119
30062,12476,5473,25828,115
35599,16269,11708,30006,122
6323,4808,37565,18328,129
8390,10003,34246,7155,100
20349,19853,31735,38331,69
34844,35007,28597,9896,115
30147,13199,28123,37164,138
6285,16131,30006,12374,142
21015,30975,27325,5492,102
12767,16024,33318,18983,127
3028,33906,4262,7206,76
29511,35318,21270,21291,157
33335,19265,33517,15281,127
27505,35419,12827,4668,121
30421,522,296,19105,50
37141,13810,5321,22650,112
9818,8470,27002,36767,130
15854,6111,27987,1752,174
14635,2621,1040,37809,167
31981,33179,7030,34191,85
13831,17676,17557,26597,77
28636,2432,36377,125,105
37214,14001,27277,33990,68
6469,15250,4844,22240,127
17301,13843,9231,7147,73
14644,3366,16879,13943,86
30834,1098,8763,30853,101
35583,25755,37257,3244,142
20735,36799,30130,31021,73
22978,7710,33160,20008,155
1157,22209,14293,31592,133
33096,6353,21061,2519,180
3345,7106,11703,29696,41
1981,33328,18807,35524,148
21367,29643,31045,34953,89
34797,24024,1065,3037,98
17571,27885,14607,28594,144
38338,31054,31871,25525,95
2478,34979,21331,34984,132
32529,25622,25786,4808,98
19219,30440,19870,889,98
9033,17562,15179,14398,136
825,29267,15959,1655,117
12225,10644,16252,15226,138
37941,9985,19510,21889,149
7604,8388,3103,5297,115
31999,21200,6030,22922,180
26629,220,7981,21436,111
23250,27181,4579,37560,126
29552,139,21521,30055,82
24908,4786,4247,15815,94
16689,30143,13839,14252,88
29715,6032,22745,32354,108
28003,12380,2253,31005,148
3187,4780,31524,15442,109
9928,18013,33860,22769,132
19792,32505,31502,16647,81
963,10769,33281,2770,139
14485,15497,1245,7728,158
4170,2653,26585,23695,152
24356,19619,20514,21501,109
4868,33453,21477,9051,126
28126,4033,34989,22898,152
24963,35713,10759,10168,131
4928,28577,30904,25979,100
934,38635,15035,31821,112
1951,12904,23459,26436,147
30298,11313,22034,8526,90
30365,24956,10728,35644,102
8756,32382,6753,33883,57
6270,28016,33958,20449,104
873,21,6810,34115,54
30483,3176,30947,8471,93
15110,12483,19543,37940,150
10742,4522,3388,9406,85
20467,11291,6980,19159,35
25618,22919,25959,6490,172
1789,29416,30826,4628,80
6170,18402,37223,9479,128
22024,17365,35004,32687,76
30064,30164,18843,19141,76
17572,21889,31968,6978,92
15291,18881,8455,22018,115
22149,34143,30867,27121,67
9798,32630,19609,18996,103
28687,35703,14746,26665,137
1820,6275,10213,18397,165
13736,27318,10086,28853,109
12491,36340,7723,26596,112
12960,30945,9207,26728,96
30215,4760,38259,24892,44
1561,10074,929,32718,135
17323,28242,19715,38560,105
27113,973,3878,2681,135
35308,18196,24906,34228,88
35472,23374,8676,7034,145
13617,6833,23300,3035,92
366,3754,12287,36435,103
33370,9871,29710,36376,111
9801,5632,6123,9477,144
5300,17310,4977,16822,70
6062,7954,16809,12405,137
25812,34887,24511,10546,108
33980,30171,12821,36320,91
36868,4610,29575,35428,102
21874,18390,36861,4789,93
1767,2396,31703,4161,166
24227,23626,9051,12396,144
6301,25931,27038,34869,117
461,23591,34202,24944,70
10041,31592,31990,25154,122
16098,25904,12830,33102,149
36198,18130,13228,33201,118
2574,34784,12075,12756,140
1771,31157,34897,22690,128
31078,20600,19262,19590,64
25089,3319,29502,257,33
10887,25271,36221,32397,56
11629,10178,16663,13856,85
14401,8663,9914,18769,142
18076,36372,34112,25201,56
14469,28878,26580,24926,87
1738,8747,27917,20373,125
27257,22903,14618,9060,133
29261,30111,37247,21089,107
1531,17423,11422,16946,91
36927,18818,24172,21490,126
21981,1013,28718,34854,104
14509,32627,25730,33094,123
7250,12524,7099,37963,95
24851,17619,37538,25692,112
13162,13789,36040,23293,125
12127,23345,34510,12479,141
26315,24388,14463,6392,130
346,38336,7808,33791,63
19823,19683,25071,25006,62
29770,1561,11441,17643,84
12371,37100,20593,24174,98
15290,6916,15078,9084,116
27204,36427,7078,33097,78
25511,15832,33758,425,90
25536,3923,25831,334,122
38254,31244,4244,18822,79
30760,14658,2583,9968,159
3225,32413,27199,13760,56
36383,3977,36332,25255,85
7676,30414,11012,31634,123
33042,4146,25504,23350,165
19988,11509,21518,7272,95
9224,25827,16699,20436,78
15867,2768,17368,37996,156
6346,22228,28201,32514,126
9106,31789,29424,10770,89
18775,10101,10157,13210,157
32278,7034,28116,19881,89
26656,31162,33755,7080,46
2522,6190,7837,7759,181
2607,24515,29559,977,113
311,30351,14753,29342,74
35256,7045,22082,3075,105
16967,35373,21103,24015,143
27082,11545,17470,36010,72
24210,16044,13976,15296,120
4700,29012,21507,13659,107
7006,13745,6893,19742,55
27104,22857,32737,7050,79
20672,24354,11761,19749,69
22988,25044,22075,14381,119
28009,30134,1866,33185,147
20416,5495,33302,7710,99
18364,17721,18849,28749,95
17315,15750,35016,30336,102
15951,22809,32726,34797,111
37826,4863,24772,8315,95
35571,33933,13814,5695,94
7201,12953,2744,16002,131
37582,9892,6160,20771,145
30415,37968,21153,1540,161
31848,7661,37582,4117,162
5262,7716,7159,22671,118
12263,17498,10127,6902,120
1102,8606,27861,33008,146
22116,13980,26352,4801,64
5482,34725,27375,16988,62
32419,27040,36464,5625,63
7918,15443,28565,36752,145
19766,37726,24769,19768,104
36184,5619,217,7710,89
18173,37204,34751,25589,109
9877,13138,1710,32739,142
20677,37815,18146,15794,107
4538,18874,38397,34818,52
13078,11589,5623,14339,110
38433,13802,18409,20365,43
32002,8484,38471,28501,102
15201,32306,21422,24243,128
29719,31764,9176,14451,107
3387,4084,30491,10501,106
27458,8471,5728,19198,83
5578,16816,17581,9440,83
10223,27425,36941,34560,114
29555,776,20698,13511,51
2634,12766,19789,38753,120
23755,25039,29268,11397,69
9857,33058,34631,33294,138
15074,19511,16004,2338,154
17543,32467,3840,1943,118
25763,21456,24366,37691,162
38594,16869,11557,12473,62
36070,33998,21080,15222,121
27154,19672,22956,38357,97
21763,21321,437,1062,113
25631,32411,22837,16229,132
32430,15248,5523,4121,108
21825,32721,25032,6843,43
18111,34797,17748,6820,73
19635,1197,33975,22134,94
21951,35586,5363,913,129
37092,2613,16980,15930,127
25620,20297,19845,10940,92
962,1074,480,4184,110
7641,35547,34785,5478,132
37901,6838,19251,7753,111
19143,6970,38267,12,34
1919,9916,26287,16210,144
895,18216,35772,8665,141
26370,25802,35480,21305,153
13600,6095,30332,38672,87
10601,5713,5259,29459,66
11362,10873,15238,20762,77
6369,19614,8515,16048,145
33429,27447,13892,10768,87
28708,36386,30359,19225,89
340,34673,2563,33250,106
20731,38390,17439,8310,66
35772,19067,11732,299,85
3434,33906,31963,7248,70
468,9524,10894,1003,89
35384,12071,36365,38019,155
17727,37654,35308,38024,169
37505,3130,15316,10999,130
37893,8464,1810,18789,138
28848,29554,4574,34905,65
22828,19191,2668,24303,142
9158,36097,20437,30080,72
34745,30154,14433,4877,95
22657,37192,14343,9153,149
20546,16013,29713,26265,55
2631,5318,24846,15162,111
28898,9881,28125,17276,153
29723,10810,19650,32276,64
18002,7272,35293,33387,118
12444,37193,7692,10962,134
28112,9204,17416,16634,110
19771,24310,33371,22776,141
4595,13618,4799,20447,43
14422,23264,3981,10572,158
19049,34602,33499,26715,80
15403,22937,23554,34122,151
14343,31012,33041,17717,121
20387,15817,10551,15988,100
2719,12362,22173,3247,129
31021,30450,35585,21298,143
37225,31674,6834,26627,84
6939,9328,29390,4698,52
22222,28547,28211,7730,144
31186,19632,12982,27895,131
22810,33937,37512,15882,140
19704,28673,17560,5341,103
12162,31679,33378,35756,158
37945,24210,13194,12757,152
30067,13973,18328,3890,98
24458,4904,36342,33095,99
6981,38429,26515,2256,72
1614,36244,15475,9468,133
12322,17324,6003,2729,157
2599,28079,35579,7258,154
9168,7849,213,970,108
30111,16828,37530,7919,121
7663,18432,5669,35530,138
3886,4731,11380,511,70
22830,20678,22583,10189,151
31585,7069,22505,21009,140
38342,17609,2024,15376,116
1205,87,10888,3480,82
16703,18282,19031,36908,81
33448,13131,34096,22159,108
5280,5551,36113,28241,105
16723,5456,3981,4896,84
33509,16571,19876,36831,105
26663,18302,9180,25614,100
13118,31131,19204,23705,125
9791,18370,38517,6834,86
2718,5599,15327,15946,145
25706,31706,21871,7079,104
12081,18812,6131,26658,111
2528,8353,27962,26525,139
28231,18208,34924,30296,108
26442,18457,4213,1581,119
13977,8694,12222,23741,134
2646,30776,20438,33363,103
18346,20752,7728,38452,73
24891,1841,16547,34657,75
26693,6473,2470,4023,147
31791,3338,4695,38489,73
11582,12975,34892,10820,90
20350,10241,12505,28970,119
4029,1270,29531,34211,85
15257,35427,22251,3254,139
9934,31517,12493,21141,171
31206,18446,21048,34649,108
22079,1793,17489,13624,108
17460,2715,30515,32382,104
8532,29710,24280,18888,82
6062,7632,30246,22137,137
27132,21030,17436,12407,127
5764,13732,35374,14512,127
38346,27884,17549,6040,124
14491,7057,30522,31994,105
12422,1234,32582,7254,83
14406,33966,23553,5281,122
8742,34234,9493,33351,104
15845,35267,19092,38586,111
20562,25579,37023,1511,115
24052,8642,27766,37273,139
31804,37961,2658,845,159
21379,27937,12369,19579,160
2003,1274,29755,23015,129
12482,220,17714,19650,96
6020,34552,26470,33311,111
13190,9880,3303,38369,115
37553,21481,4514,3460,129
36282,13234,31657,24252,123
29343,30194,16701,31980,71
1982,3921,7133,2501,139
37807,18236,15869,23552,157
2578,22237,7019,94,86
9504,27771,8258,30186,128
12764,18354,34731,20765,81
867,14434,893,20761,108
18041,19934,22887,10645,124
32535,37182,9069,23494,118
7845,31641,21379,9865,178
12096,32474,34699,29683,65
20622,16798,27391,33067,63
28547,38479,29610,1227,71
1244,34816,17506,26744,87
27758,15755,36066,5492,123
1720,13804,28923,36916,118
24131,1923,33281,1202,140
3310,30808,21785,17020,74
1890,21997,13833,34876,99
16924,25991,21422,250,105
26702,31945,16271,28603,113
13695,36842,36,11293,60
7556,33077,21002,455,134
15115,27291,31211,29537,78
2289,13511,19201,10893,101
9515,33301,9162,27984,135
26497,20451,26698,34892,43
36953,12892,36794,6806,108
3466,5369,3158,22847,108
35280,8005,146,36173,123
25988,21124,7790,23613,183
15766,28812,12202,11454,113
36069,28736,21479,34143,110
28972,27357,23719,22901,146
17023,31971,32739,33254,88
38609,21829,14563,27093,87
1684,19877,12927,8509,144
20447,24981,1686,28633,79
30828,36243,7892,28961,112
15925,37643,21449,22008,157
4649,3951,26014,32547,100
9275,26512,2356,9826,138
19649,5545,220,37138,84
4038,34194,34649,33196,101
25212,3211,35701,34024,85
1848,9450,16241,16525,119
8304,15347,27322,19193,105
34602,12276,3134,9318,100
5321,8635,5671,17013,82
25237,26277,24347,29684,48
1994,20279,23773,36043,119
10905,12310,32569,35680,121
37003,21010,7200,25149,91
34200,29375,38604,35527,71
3083,30045,10893,220,72
36838,16791,15948,25742,117
6274,9752,21049,28709,178
33418,175,13892,37256,85
31001,11691,18260,13085,90
23659,32425,14562,18232,125
22159,26496,36046,23394,110
12439,35314,9319,10792,140
3292,7596,34500,3518,100
33354,35662,24284,32533,125
24795,17368,15320,12283,106
23728,23519,23454,19840,184
27865,34913,15242,17387,130
19646,16810,33268,27191,89
30461,31022,12510,27983,122
36383,26554,32560,18119,64
26338,35445,28725,8457,128
26571,13932,31570,24858,62
16124,20764,2368,20468,89
7856,9061,35531,21376,173
31931,18220,15007,3893,138
15347,13007,34174,26436,101
9483,12101,3015,10663,107
4809,371,28130,28944,96
8498,20615,35442,30236,110
12249,6223,30498,30882,123
14557,488,17564,31553,108
10577,28695,19967,29251,86
33133,7897,36192,13100,138
23673,17425,7526,19113,137
4642,15320,34132,5612,83
37145,21319,27829,12939,166
32372,33201,19173,36071,80
30390,37621,9271,36410,115
36949,4168,867,22808,152
28929,25118,5354,37133,83
20461,21945,3133,25074,50
14427,23562,31615,3063,148
18431,9181,31632,16615,95
3410,11371,22075,34541,72
12438,34760,2539,21440,151
38526,26448,7948,1268,92
34529,27498,15906,37934,114
873,7733,1204,11401,117
13769,16850,27512,54,45
27879,8630,28130,15973,162
5530,27518,5301,10014,104
4111,27260,34924,29464,76
829,10797,8617,3167,109
30483,2652,17382,30148,118
22878,23640,36267,26620,134
12869,34229,24200,11652,87
18954,7542,33920,7015,75
30134,3451,6302,36964,120
6330,13920,25815,30278,120
12949,15837,4642,14526,132
16091,15464,30902,17526,122
36234,16984,36925,4733,77
36184,18779,14490,29471,83
2755,10947,1007,30890,122
19991,35639,37023,4741,126
3066,7652,60,10155,120
14756,7538,33480,34554,137
29590,27238,16779,838,62
13664,6083,19026,3500,96
20364,1106,21941,10919,83
29588,26418,4224,11740,66
23752,6346,21458,18785,165
31266,31122,24357,1826,109
4960,868,31085,987,96
14474,11397,38263,10071,108
26698,12063,513,28648,84
13061,15075,17434,17266,132
18887,23773,22889,320,123
20769,12380,21953,400,69
1565,6369,32441,18852,115
27507,26481,2708,17497,101
34150,10773,16786,25040,47
34634,459,31880,27016,72
19549,2770,16855,25738,125
12781,16692,34858,22063,92
1825,5441,516,18004,92
22959,6921,27222,2472,119
10604,35579,21454,37225,158
26494,10611,33066,26696,83
30488,20493,20705,1621,70
33908,36756,394,13724,59
17259,30000,21437,20316,100
38751,1522,32582,27830,103
21388,27921,1957,34800,157
3154,10059,33919,23434,132
25707,27752,30292,31790,140
20704,18386,34210,35459,87
26377,4178,5365,30437,93
34793,19111,38304,16942,49
4992,20447,32264,28030,70
9231,16101,7899,19081,123
11468,329,19847,2499,92
19813,16706,18148,22996,111
17379,30478,31753,20669,84
13915,21176,17564,11309,99
3408,7006,26745,6382,86
7973,38414,34821,5729,84
15063,12177,33293,8558,145
30319,10774,28573,24425,105
24976,931,16675,27105,61
32297,28613,22806,318,93
29690,14492,19550,6876,81
4729,15399,4087,3447,115
4226,30516,1751,4969,120
36219,19699,4268,15133,130
19680,26521,15351,20534,83
7791,5626,6280,2722,157
26333,2421,12824,13928,112
33498,24424,18308,4719,101
11351,9759,6469,33002,143
8689,22186,31054,9984,127
22853,14638,4955,19149,121
16046,17251,37061,23430,146
23305,11741,27058,3109,97
36982,11657,4146,8592,114
25775,31081,1549,25525,138
4689,26610,25521,31564,98
4027,10123,6125,19754,166
1701,36082,31591,9415,126
35750,38301,9174,18943,101
24359,28047,27093,3258,110
3290,36319,15283,36517,103
28968,13957,20695,22167,70
28630,6091,4504,27895,137
24772,18211,35517,37011,110
29771,33844,4865,33237,62
30472,31075,18198,14358,105
19635,23463,13692,13685,106
4578,23700,33965,12332,111
28716,10758,21818,35717,132
4543,30069,9248,18999,79
9008,17512,16825,15377,105
25244,10130,13563,7774,110
36889,9342,34131,24161,96
30388,3082,38654,1650,91
16796,17331,22515,8687,119
25135,27465,37619,33025,98
24286,18859,31808,14670,121
119,518,22898,22616,110
32262,34136,21896,16947,53
16827,1540,28008,27865,147
16084,8767,12943,31920,143
29488,26461,4515,9854,81
16274,11645,8018,21402,140
21289,5527,160,17512,101
13993,1962,10838,32498,89
31586,35744,37903,2253,180
21303,30846,14399,891,142
4797,18221,8377,15876,107
12261,19598,21857,7547,132
22231,8319,30220,26665,92
30768,38717,23732,17282,101
24995,366,37968,22523,103
10253,4567,174,29425,75
25646,21763,7962,19906,134
11377,857,21271,25652,130
16642,3344,2369,23373,131
14768,18803,18903,36314,95
18391,30318,2731,37216,124
33289,36025,36784,4660,101
6334,19910,8389,16106,145
20640,11762,20406,27816,60
205,5518,25842,36378,84
16102,15175,4971,32738,100
20548,6935,11527,18922,35
2757,31893,6888,25648,127
2404,22955,10017,25109,151
37261,36080,6973,12331,95
36409,10510,10737,18222,92
831,7729,37572,3194,140
948,32006,27435,18520,104
7015,34222,21160,32424,74
4756,35472,2613,30427,137
5474,2582,10859,17000,102
2003,31141,5421,8273,114
3125,27451,466,7207,48
6104,441,12458,32634,97
22057,9865,7965,32286,127
28506,1787,6943,34978,98
37232,8661,29348,21516,118
28149,22766,11338,8714,138
31951,36015,38647,7062,67
34625,1754,16958,20443,74
22821,5377,7942,26551,123
10775,10239,3372,32632,103
22080,25523,38447,32648,76
13174,37671,23369,14491,178
21780,1942,21052,24172,148
36255,1662,27312,18137,103
2322,15783,16076,20410,124
24344,23596,25934,27845,165
27866,12937,9269,12782,151
21079,3452,16270,22917,156
30140,30382,26424,19660,84
20278,3333,32774,24975,33
13813,23756,37957,3254,130
33352,37095,9865,16905,128
21886,29674,36289,33961,59
10573,30866,30818,11414,70
26722,11370,1074,9484,81
4674,37542,23424,30031,133
9438,23463,20711,18856,97
9375,27045,24928,28796,75
3823,26358,28674,33295,117
6357,32620,20532,16824,68
22245,16977,33305,13031,110
959,23719,12333,4112,160
1717,5676,20470,27118,80
45,4248,19639,1085,106
35633,34834,29261,14535,116
4956,873,14394,7874,131
9409,11355,4716,27917,97
9832,36290,14552,11452,124
20510,17426,16668,24946,42
32318,21007,6208,4823,119
923,22566,8509,9966,165
28812,37268,19898,19565,117
966,21113,1891,11605,136
30405,4192,13740,25110,78
29512,38773,14687,18107,74
31005,11319,38762,37587,78
12362,5676,18828,35259,124
35521,16960,524,12447,106
8741,24848,10655,24035,89
6835,25885,6332,18818,108
11441,7674,33931,16136,99
31045,5505,1804,30392,103
7689,14480,20463,27333,102
3396,10825,25167,9947,98
8681,34196,24016,20415,73
37656,34918,38540,29284,71
21446,37948,24068,1007,156
3311,2563,10919,1603,136
25587,12399,21060,17721,150
2564,31885,8016,17478,151
3372,14443,23430,38535,119
22063,4028,28212,22817,160
251,34810,3855,29630,67
38409,25825,4238,24009,112
7628,3269,5729,13513,95
12173,15347,23761,8299,162
37908,6114,29313,3095,116
6784,17004,20316,2359,68
19636,34142,2730,10689,109
27318,37080,30435,7019,75
22250,25250,20633,24201,59
16776,6470,7711,6017,148
37609,21976,37929,32644,123
18397,22243,11653,10639,82
18042,34214,13631,28223,91
3078,2696,9825,2404,167
33286,16184,7884,17462,141
7507,4508,38460,1955,106
38530,33369,1965,8564,117
21836,14410,4268,37132,138
35686,34509,29269,37174,105
16110,36136,6292,19570,133
30467,11396,34028,36930,72
37782,2666,18211,19110,132
14331,18973,3047,1999,122
12123,10074,2322,5371,154
7746,24515,12761,26278,123
35483,34747,2676,16796,129
17357,24779,24950,24064,61
12518,15007,6758,21373,134
