card_1,card_2,card_3,result
23504,12098,33952,91
31082,19901,24128,25
15905,36991,37846,72
24166,10508,2411,67
36205,16934,14734,39
11446,23253,4115,104
10867,30260,26022,76
25258,9179,15373,39
31007,34582,29694,22
369,31737,9230,58
15121,2573,5713,56
13541,10785,22199,59
7152,23361,4266,101
15482,37267,32258,31
37876,14357,429,42
13901,194,20517,21
25582,10730,38548,63
6027,32417,18101,60
25651,1266,29695,58
6852,13238,38323,51
6082,43,15397,46
28942,33088,6897,46
29744,37829,25523,64
114,20271,6410,40
33958,13537,24054,31
4856,34203,6850,30
22073,20510,25049,29
16774,22737,31061,61
15119,28992,31791,44
8376,3407,13558,48
3073,12287,7572,60
23335,32321,15778,93
19112,19649,31822,36
32475,18198,13059,67
13119,26379,36821,66
17533,26520,10802,60
10068,34980,13024,95
5649,2274,16237,81
6069,6104,6425,96
18890,4086,19220,54
14684,4675,6403,58
16771,38725,37185,31
4262,36913,29257,61
6268,35328,2023,108
27954,9914,1725,96
24486,17017,33277,47
27189,32289,14616,24
14680,32414,22132,44
17281,4768,1889,60
775,10732,37838,64
5324,32690,2746,56
28625,6523,2465,80
2621,10107,5622,96
16765,17678,5432,49
33984,13092,37104,63
33983,34752,7511,33
29618,14315,34509,24
35511,36118,24399,81
26395,6830,1559,39
26392,3331,14276,38
31629,31905,33126,75
29487,23436,6496,88
36795,8454,9021,64
14666,24836,266,21
31727,6853,2632,67
15756,8501,34564,62
24282,32417,27951,45
6759,20277,11305,19
5677,30359,26432,42
6352,30897,13995,55
25500,27976,87,70
21831,22859,18898,70
35704,36754,17360,97
2477,30828,4914,60
7517,1054,35462,90
16184,27161,15513,45
11648,12839,28785,61
5263,31143,14721,34
7667,3324,9897,78
34014,12508,36303,55
1561,31192,34242,39
32518,35769,37717,88
4631,6523,24136,55
32581,25870,31131,54
33520,21000,27987,99
27353,12072,20518,36
4157,30810,9101,80
37019,2697,25050,54
32465,17588,20574,36
7644,7245,37754,47
18361,38598,13732,38
11353,31640,8642,55
3752,1833,28504,74
31639,30022,25553,78
36384,19876,2361,58
3111,3101,14383,40
26535,8529,14551,45
14608,6833,5712,31
19778,2568,36151,58
5610,11393,2524,58
35486,9005,27907,112
5402,2009,13786,45
27123,33513,31923,55
15054,23673,33043,87
13830,10500,17512,61
19072,4553,18175,40
37062,23352,28693,79
32709,24912,3895,53
10911,9183,28523,62
11500,291,6957,23
20694,37740,5435,38
19563,13887,19195,25
38678,25046,24416,17
26405,32634,28115,48
16185,12756,18151,92
19521,15085,10627,36
26681,30325,8296,51
29709,12172,17642,60
21061,22629,20628,86
33880,22618,20499,51
18299,22191,6524,76
20627,25752,25781,74
33402,4979,13750,54
15216,8518,16133,62
18953,4994,30128,38
2529,6149,13155,107
34569,34108,7985,33
22610,33004,1066,85
12057,15295,8606,59
37274,19562,30333,39
15861,5375,11501,55
25662,38317,34267,50
11519,36041,32752,34
9415,5280,14364,52
24847,27774,2395,67
27320,20383,33921,15
33477,2491,4214,105
19732,6157,16994,49
28774,1633,19800,38
14564,25096,38634,20
14251,35018,19606,26
31834,9113,1007,70
29368,27518,12329,38
18150,14315,24236,41
33394,31951,3010,65
17302,2734,1797,82
36912,34264,9886,72
32531,28742,24064,29
34820,34251,12243,47
8420,36177,6159,69
27874,9009,6999,63
35272,427,28035,90
17350,4823,9244,68
14416,11644,18013,42
25678,3064,19900,56
19543,280,22669,52
16239,2257,7197,76
16948,5481,10874,45
13811,27391,9499,45
27247,209,11479,20
22846,3269,17558,80
762,35311,19205,80
7127,3212,28822,33
2307,3439,225,56
37195,29310,18897,25
34127,4697,23264,75
37001,29646,14415,31
20567,32009,14002,39
34820,17480,25856,70
271,22129,12360,60
21253,13522,27122,61
24985,15800,30817,46
1056,28800,18439,50
30944,31664,31137,44
12877,23640,33481,118
14024,19267,32629,27
28998,19859,12934,57
12262,31992,4035,96
22709,4154,4549,96
4103,3812,32362,92
25725,14675,22676,88
16223,30204,38611,56
21106,31243,10951,76
18977,27945,10207,82
31063,7191,15453,25
24060,28026,16157,70
10516,8643,30269,61
9072,1144,3340,60
34519,9922,22975,96
12453,25842,3362,80
23470,13882,30332,83
21847,22186,28031,76
23453,10988,37181,89
4118,34827,14737,62
36083,3990,32727,66
21773,18197,13192,83
9262,7257,26683,47
37043,6509,8664,68
6781,7502,27130,27
30195,2653,9171,82
14580,28033,16641,51
34622,34914,5470,28
8298,125,34665,35
1230,431,25561,60
4231,20557,23657,96
24072,5509,15835,54
31265,3077,28670,36
7089,20540,9936,57
1554,1615,34055,49
16819,9123,12871,78
26008,4664,14583,62
12139,100,7985,52
13874,8020,6292,61
28529,18424,24180,41
16970,7253,2615,54
15416,1088,25206,29
1921,28897,37179,47
19585,11456,16656,27
14335,36298,7756,44
36768,2434,1696,71
13955,4034,18848,61
15934,8703,13077,93
17756,19589,36094,48
35647,11371,12886,105
4271,16959,13067,92
34175,33326,25222,39
25790,15077,18270,64
31152,10919,36108,48
17297,35009,26742,46
24347,24501,2527,54
28224,3398,3306,56
16654,6333,33484,70
28570,24105,23713,73
30140,3277,28811,44
5527,34757,22504,60
15148,19829,35692,70
10977,28900,22714,74
25549,7806,24467,61
23282,11653,15940,95
3344,34824,27106,26
33765,18988,27158,19
2615,19694,10078,90
2303,34587,30516,62
23590,23492,10937,126
36106,3838,19559,64
1173,28724,30218,48
2360,10044,19710,90
28238,36180,3349,58
37648,1252,33115,69
3454,16164,38502,52
12070,12082,34104,69
24127,25794,31058,55
12425,18159,22862,90
14463,22103,4158,78
15292,10996,10084,78
3038,2573,35499,106
22652,8620,29668,65
18981,26267,21779,42
25501,37843,33450,87
7199,9286,29576,39
30833,29717,7259,21
11696,35693,25187,69
9233,16790,10689,61
3944,770,11575,70
37893,27773,13251,91
16525,35593,7865,83
23332,23475,4523,118
72,8661,6034,59
27936,18073,13516,61
7910,22056,34248,49
17322,26371,9110,66
25980,16854,27820,75
25894,25196,7826,55
35706,3413,28557,82
17591,21464,38529,75
35733,13159,28697,107
3817,6999,35595,105
4962,27003,23481,70
2294,12410,21824,90
27756,6807,16887,46
17358,1778,3813,88
24772,22832,18445,63
9057,12759,31862,91
11735,38410,13979,28
20536,6066,3178,48
14408,194,22097,42
857,4181,4949,74
3850,18401,20454,64
35326,3038,18449,90
3824,6365,463,80
9152,38467,8734,54
20012,33024,6408,65
1225,18242,33402,65
27822,33365,17499,81
11470,32404,20307,20
16238,19130,27196,43
4161,3388,9043,84
37749,28113,25936,88
12274,22970,38452,75
11711,13019,15927,82
25980,13708,10813,71
25602,37771,27241,64
37872,10210,21192,116
18473,229,35262,82
13784,34947,29411,25
3176,31049,17385,50
23525,8631,183,79
37051,13028,6181,86
3010,15068,15382,30
21507,26302,26665,68
20454,19139,30439,26
13849,33210,38380,45
31198,27976,983,56
14730,24232,16915,32
34145,23251,9377,89
20335,4790,34095,25
10628,13013,25201,64
29306,16948,17541,41
38605,15440,7542,29
33986,21964,1517,53
31082,4649,2010,44
15928,20670,37933,59
33298,29347,6152,63
15996,27760,12367,91
5720,25911,34030,57
28605,16510,4614,37
3471,25250,21355,61
34144,25660,29677,49
32452,20358,19203,16
36948,33251,20280,44
16211,31042,9779,91
16074,1601,8750,74
5468,25150,9754,63
7946,31022,26008,62
33800,4817,27507,27
8007,9085,7708,60
23301,19051,26615,70
11254,37268,24074,34
3042,27850,10961,64
12770,479,23718,97
22847,12442,8275,91
3318,37772,12174,68
16229,1557,2717,89
36437,13234,22572,95
31671,11269,18440,54
11348,34151,9058,47
26705,31912,6848,43
18494,32305,5690,40
33882,32339,27370,21
3412,14477,3050,40
27269,13131,13562,56
4162,34505,38691,55
34804,767,18347,46
31817,5606,25039,39
9272,9814,9848,124
35643,35620,16885,123
12241,8338,16162,84
7209,36050,3301,37
37195,13785,9146,56
27896,32583,937,54
30763,1678,37885,54
35365,3810,4580,112
37158,6845,33951,31
7758,22959,4569,70
9826,11583,17518,84
36981,9109,21132,87
22822,3101,30999,64
4811,28149,31544,66
20445,18772,17561,34
38417,3302,7588,35
27898,33299,24085,64
37629,3918,33288,93
21384,8280,34069,74
28945,22217,22066,60
6853,2718,17309,69
6026,4787,19161,52
34228,26592,4976,35
12503,7270,6950,44
21498,3751,16663,97
22235,18272,19166,50
1947,3992,3380,76
22749,5537,29774,56
6147,35584,15369,96
28162,22825,6804,75
5704,28045,13256,79
36383,30797,31081,36
26462,29563,6026,48
15061,27115,283,18
17338,37523,25768,86
3862,12090,31256,82
29355,31742,34764,36
19558,18423,36237,42
30002,14518,12005,60
18760,3340,28210,48
16540,35374,26419,79
3155,26719,19976,32
12275,12074,15421,68
22863,10223,22028,112
21251,21942,8383,89
23251,23679,5440,116
26381,19542,1778,38
25660,7526,15308,60
15513,38265,38630,18
10847,6120,12430,84
3422,21793,14429,50
15424,26491,29656,24
27868,13125,13192,106
37904,28630,25742,72
15101,26334,8355,41
18808,32447,151,20
31244,33177,12130,67
1097,21368,15910,95
12860,24319,30234,66
11605,9217,25934,74
20352,28233,849,48
408,15772,31736,63
21246,18334,28077,92
12817,19606,16037,78
36016,27987,3296,58
6068,25270,38419,40
35260,32635,25834,100
36026,1536,14644,48
15400,10761,29703,34
4020,18130,12206,92
38496,22620,11589,55
1679,37662,12394,74
15834,20305,11742,45
21254,5761,18161,76
27444,31687,9096,56
35621,20728,30340,76
31622,1720,16059,77
12459,8385,20284,53
21115,10786,8273,87
21313,20364,37129,61
15859,22944,15364,81
31890,38271,38513,34
30325,27280,15253,30
27293,34802,20578,14
35262,16778,35369,123
23551,28573,36133,80
17528,23666,360,84
22673,27293,865,62
3131,8725,23634,87
4512,6772,6239,53
34760,7034,32399,23
21976,26484,6371,68
33511,18067,15508,55
18257,27864,36856,63
9942,11713,29314,62
18196,9175,10644,70
8502,30361,6203,71
31565,30935,22711,74
19543,28875,1817,38
28208,29013,18993,46
23535,8017,8567,89
10078,26669,20340,62
3987,16162,16537,86
1553,13867,18754,39
9273,2400,10229,112
3249,4175,3310,70
7915,34755,3937,66
19128,24517,33801,24
31123,10251,34573,66
20478,6237,29665,38
7701,4899,32541,38
32682,27994,4187,78
27830,4658,974,60
20600,4885,943,34
13785,20335,1195,33
26617,12275,11464,52
19221,7763,18412,42
32404,3059,15118,30
36996,21878,10869,61
21289,1922,22841,104
21013,31013,12264,84
27040,6300,12496,66
21792,35326,13926,93
13918,10103,36026,77
9269,33457,10175,103
13524,36010,30837,39
12050,2603,804,84
13553,25131,11739,26
35667,30394,23751,126
31729,33310,32682,59
10939,5748,21818,58
10168,19725,33229,81
3397,24801,138,23
37633,18040,13759,57
8744,25206,30781,34
21860,37043,4274,81
33463,16031,7632,76
1840,18032,36983,55
1159,35669,29670,78
6023,29358,21383,80
37693,24838,21758,51
22078,34206,25665,69
23009,229,23410,98
14300,32559,5351,32
36042,1500,6351,68
6044,31110,15409,50
19565,2264,17306,68
180,33012,32382,41
30522,30250,22769,76
37264,31250,20292,27
33230,35361,23021,123
519,26679,5299,30
5470,4792,6076,58
32636,36346,27477,28
16268,27052,3801,79
28906,13139,31720,75
14731,32591,25969,56
10576,22621,8,68
34833,34665,28748,28
2566,10217,34254,93
6818,17700,27928,61
10041,1550,884,86
19780,33255,26740,45
31967,24300,13113,72
32688,30840,17407,44
29597,27474,24825,11
32515,31622,4536,46
33121,25748,19679,69
7508,18333,25721,72
21179,33184,2633,107
10830,23755,3296,88
37953,3991,11276,76
13174,11509,28621,61
6051,9875,15080,88
2589,9121,12751,103
9818,4261,24789,93
8580,24121,19523,36
8297,36416,34142,46
8768,25770,14624,69
16550,37829,31648,59
20698,468,29509,12
15342,4055,19942,56
19024,27902,38649,39
23486,31783,22513,116
13807,21803,1609,57
25833,20763,16634,49
33927,4919,30512,41
1911,6040,9082,80
13251,38519,7698,60
33889,31880,36839,48
22197,38494,18122,49
32492,31580,6283,64
1856,7933,31072,46
16789,33855,11645,30
177,30770,22258,40
11685,12864,2666,85
9385,6959,7962,51
6960,27782,21846,59
13151,18260,17541,85
24203,29675,36324,29
20405,20633,7629,20
6886,36885,3149,36
27254,13876,7241,24
977,30981,10765,50
27514,36074,16600,31
38458,20281,115,13
21825,21260,8724,89
6053,2430,34869,76
8012,3320,34815,38
13761,15293,25681,57
26439,37958,9331,64
35705,32457,27856,92
6456,34648,26387,52
19644,14743,25989,54
28647,7089,11274,29
6362,35604,12191,118
33510,15951,13033,99
8574,34831,18163,49
1081,16743,31902,53
10176,38471,7806,69
28222,12094,963,76
28132,21273,35448,128
30345,33276,28069,73
2389,12058,16063,99
10656,16835,6418,65
33503,33016,1163,72
18450,16265,4753,67
30972,26723,34957,30
16601,27056,21488,59
19571,13915,6485,51
24923,32701,36336,27
4602,19782,6488,52
9040,15967,21880,85
18761,38581,28824,23
31730,10543,7109,53
10892,26395,37805,58
2323,25119,9215,67
24909,19173,34067,18
10241,35286,26457,116
3940,16852,24302,62
38255,11392,5472,27
3449,3431,10735,50
35364,13253,25567,131
5347,37101,12342,57
4001,20274,20469,46
30178,26,1567,44
22556,3755,37689,106
29473,34171,29518,17
3167,31800,19696,44
7187,6268,1134,57
7077,1930,12835,66
18252,7641,22838,76
20343,20701,23417,56
21933,18451,5263,56
37075,12093,13935,58
36465,25231,4227,61
37533,29665,33309,55
11003,15467,12,36
21145,21005,9345,116
25228,17346,25922,65
29412,16972,30899,25
23439,906,9849,118
12442,20483,16025,65
35272,36484,1928,92
32650,13949,3306,35
24106,6153,3405,55
499,33193,38288,38
22778,38383,8468,66
11654,1726,24822,33
10604,35616,19930,84
25856,5574,29420,52
33433,15509,32428,43
33756,34973,28080,45
1114,36034,28742,46
9427,13635,14022,54
6508,4178,1656,94
36038,1084,36986,49
3009,16074,24438,56
16100,5661,12933,84
14545,6106,22820,84
18167,29435,9825,72
35344,8267,30916,87
14400,12848,18868,57
32307,10996,3314,44
29446,30907,34076,23
28049,19093,34241,43
29498,25110,31661,31
5582,28082,31248,50
24859,23668,25108,58
27962,31656,31061,62
11373,32645,17572,44
1099,4267,31955,84
33257,3964,22991,109
33433,36022,13884,56
29735,12520,35694,90
38491,16039,25642,74
2648,15789,10913,91
30197,35259,37501,98
13041,4114,8547,102
11329,23715,15256,70
18054,21263,27981,92
38352,5289,4015,59
12224,16635,8644,62
3306,22210,4613,52
496,26718,27751,46
11496,1822,27082,34
3349,4862,22785,68
31638,23665,32504,84
25237,12192,37699,57
10810,15835,33255,82
3159,28545,11707,36
36874,35418,22880,111
20005,25932,36097,58
37759,29772,18770,34
7536,5323,25903,64
10574,26295,24285,43
2501,22944,12214,106
4993,30819,7864,40
18521,10752,33783,51
15246,6129,33212,67
10251,20773,26257,62
10803,6421,38526,59
6439,21801,26006,92
1130,37976,27478,46
17451,17719,26265,64
20415,1547,12508,52
3406,32346,24033,31
12138,4793,11701,54
25216,6850,5757,22
34798,5286,15195,28
30217,25037,35718,77
31601,34590,33411,59
56,26340,24509,27
25241,965,16878,32
15837,27212,8748,58
26706,19192,30106,36
12079,36966,8311,66
28037,5408,31759,64
9438,26416,20283,42
37065,5383,23510,79
17480,19045,35621,88
33276,11688,34674,45
9006,20469,9135,58
22206,28972,27095,40
36076,29011,4850,42
12198,34600,32498,46
25901,18352,14337,68
18827,31057,31995,40
24084,9429,1010,55
15888,36027,886,67
29515,13713,31590,41
37778,1693,32476,52
26764,35733,25099,71
27482,449,21946,34
21200,8377,12895,104
29445,7841,38631,25
5578,18805,32277,26
30330,11640,6465,60
19976,20714,14292,20
881,15508,22148,50
30023,16987,22955,69
14558,12058,32712,50
13704,27502,37852,41
34652,8437,18837,35
4996,2585,6511,82
30195,11558,4552,42
32360,35369,30213,82
18947,38404,1071,29
13779,26694,33212,52
1909,31516,21962,68
9015,15323,12453,66
9969,13170,25037,90
31936,13678,37712,61
21097,22613,6170,116
7857,20574,24362,27
17677,10999,10616,70
21105,18520,9290,92
25024,15923,16977,47
1083,7564,33165,61
21379,8293,28700,77
21470,1077,3085,76
2468,30824,9132,74
28982,7844,11533,38
9764,21466,30512,110
13111,9868,5557,99
25161,6139,25088,38
34542,17760,37985,58
28633,25261,7567,31
28510,28918,917,42
23674,10570,27438,78
35751,17275,34641,90
1995,22149,33861,53
9863,1159,22677,106
38712,35656,9267,89
18002,21817,21161,88
5625,33210,34935,47
26385,21487,23472,108
17586,25006,824,47
3421,24798,10734,39
16618,36141,6848,34
6481,31186,7772,58
19576,31218,34039,25
38271,7126,460,18
33222,4786,31996,65
11492,33962,31836,43
1772,3953,25896,98
38369,12983,19918,50
9020,22103,1974,72
37685,7891,34843,48
36231,26678,5693,40
25922,22679,32621,84
255,1790,1153,44
16878,3119,16261,58
13084,6870,28515,58
25813,34827,21954,68
4595,36522,9186,58
1212,7949,19598,40
35496,33056,13085,122
29464,14339,26762,28
30203,28065,11409,56
36406,22824,24873,59
20019,17464,28793,44
6394,21126,30165,94
25889,22759,6089,108
21137,1072,38647,67
13121,4749,5576,65
14475,38743,7182,24
33144,8638,20739,50
18486,18425,10954,62
19675,4541,30259,38
9190,12245,7843,74
14367,3120,8718,47
6080,11380,858,60
5584,37748,32621,44
2410,19504,5309,54
17516,27229,30114,48
22139,1012,15968,75
1664,5422,9763,80
4872,12853,22679,93
17724,30328,26326,56
13771,7269,30363,38
2019,27355,10865,46
21459,13910,8013,73
28002,20694,18179,50
9118,4047,26307,82
3473,17020,10139,73
34722,37829,33108,59
14360,36105,37908,52
9194,7008,4502,49
14695,6985,32380,27
2531,15228,6391,76
25548,31877,37015,75
21828,8439,27491,49
21293,16798,20683,57
12036,31761,7833,70
12061,7272,28558,49
34147,38397,6352,46
2511,37209,4151,93
38006,15934,6335,89
32691,27848,37656,60
19783,18104,10693,48
4580,8549,7999,51
26393,4886,17560,52
7057,15861,7110,47
28238,7783,37711,68
36430,21027,16154,93
26437,4894,11018,48
34752,12874,22780,87
34173,37896,19271,39
3089,33276,10147,89
21313,8447,18946,71
38712,36192,32358,29
35403,16904,30944,77
33448,35735,7101,90
36185,31948,33212,67
37054,19597,9028,49
34729,33802,3827,59
13106,18230,3922,101
32734,4007,36357,66
27253,4824,18815,24
29587,1095,4814,36
32643,2768,30003,62
8584,16009,16155,87
37961,14417,5747,48
33938,25573,36855,60
15938,7749,10541,71
9425,26641,8607,61
38587,187,36861,26
25785,28229,9062,92
35406,26266,18283,88
4171,6916,21374,93
27515,495,24079,19
9344,14409,21036,84
23441,26470,25609,100
10542,12181,28644,64
17735,27461,7940,46
30000,2631,4003,96
12075,18445,28205,78
22636,32746,10164,96
33858,15351,25165,20
33867,12198,2769,75
5379,35426,7864,84
17455,16950,19597,43
27031,37236,15852,52
31662,13931,17761,63
18013,31539,35545,100
35557,10805,10920,100
34013,28946,25140,24
14723,23535,22672,104
4630,29006,8392,47
11263,3496,10719,46
19761,14344,6964,25
34142,25600,25871,81
28988,25587,26768,60
30773,25843,32438,54
23544,4503,25820,102
30463,12222,33106,75
7670,9246,2568,80
32011,36202,13168,79
36900,27996,9090,71
32393,35766,21365,108
7764,8678,987,55
31247,25193,4978,27
30850,14632,32592,30
7976,12007,8632,67
36763,24388,28741,36
29737,19585,36450,26
36125,357,29269,26
26680,4246,16955,65
3209,868,29375,36
34912,5703,4066,62
21298,510,37195,65
22574,18034,15772,93
5311,1204,24446,39
6814,7844,38336,28
25056,18139,34778,31
13647,35293,36208,85
4738,23259,19563,72
31872,27199,25066,31
1956,26410,33110,59
30941,6055,27157,46
20762,8342,15191,31
33288,12417,32476,65
23772,22933,20562,94
29640,3383,9404,46
4043,432,11378,58
34973,30412,9979,74
36766,14500,2413,63
16672,15103,17586,45
7850,391,14520,34
5750,12320,30348,60
38550,13024,34792,52
16932,407,19203,23
38460,36960,11305,30
38700,11359,12903,54
21930,34802,7140,39
36252,7013,17608,49
19689,25906,3161,56
33097,27493,9950,79
10531,32509,29514,34
35005,33385,12348,65
12203,375,36242,52
24231,22913,31583,73
34537,25824,10714,66
9309,4738,23018,82
28844,14629,7501,40
5593,10888,4222,76
18478,6374,30307,70
24267,28884,37502,45
17265,24051,36237,51
2653,20580,24486,47
6274,19638,26477,50
15449,36894,7051,30
32454,6989,30159,33
28668,33866,37881,45
178,5625,16651,29
7605,38462,7159,28
17691,14459,17501,64
38329,38673,866,28
10846,17757,9047,76
6773,34171,32323,24
8501,36010,10657,59
28016,20507,13534,43
30072,13578,9098,59
22112,3111,34971,46
33856,15355,6347,49
3228,30480,6259,64
4934,34133,15422,31
37734,25079,19696,33
11307,2306,24984,49
2743,30235,5474,66
7018,17453,14569,45
8020,18469,10177,84
33483,21266,17354,97
26506,37100,26595,39
25931,14717,6381,80
29761,14366,7811,32
12761,13786,12498,82
14549,10995,34231,43
22560,19952,12040,76
4768,2411,14406,62
9904,24210,1029,75
30203,6199,36860,65
27781,27168,13054,71
7878,30260,28107,62
15868,22573,16269,106
34871,16175,32301,49
33140,18079,18429,67
12368,26010,15377,74
879,29338,33754,31
15346,5691,19227,26
6091,13228,16612,82
22828,16961,12435,81
30969,20006,31661,40
3868,5630,22834,94
36839,9343,32728,51
30156,33310,35327,101
9436,1638,5554,60
1029,19245,17257,50
25201,28911,18939,21
3085,11703,7179,31
25075,3418,26259,29
26476,37787,3864,78
23268,25531,15814,121
16873,21332,15264,63
4996,284,38701,25
13575,5371,19651,31
28500,28630,28113,52
2671,13746,6151,81
5017,18451,32618,42
25996,15243,17508,70
10573,15110,34676,38
25517,2,29743,46
33365,27442,1,37
33441,15946,12104,90
25013,4882,33014,44
34214,10591,16201,64
1158,13236,3316,71
12524,27933,8649,79
27911,15973,31135,71
31674,26701,10007,84
5509,14559,4783,38
38260,31810,28081,57
31964,2722,38481,65
27923,22918,37,74
33214,15893,18001,80
18019,29016,27110,36
31925,7696,31666,64
30774,35515,2695,102
6323,36781,31804,71
36489,7104,16994,34
9471,23408,36188,96
7176,13824,27947,48
26544,26750,323,30
18265,21852,26608,56
18870,9416,21138,78
36233,38667,29319,25
36075,36169,7857,48
35274,776,9811,122
5487,27242,31142,26
19540,8490,5646,39
34263,4750,6802,30
24139,32418,37229,32
1794,32353,9272,56
411,35617,11690,72
31999,28035,24210,61
13266,22127,8638,84
24931,28972,22898,55
18216,19644,25757,62
19508,15448,17483,40
12866,23460,29315,95
16875,12469,16004,74
26758,30934,34261,31
22902,9469,15323,76
30383,23769,10072,118
10815,9502,38580,55
7011,36125,19267,29
1769,13512,5505,45
13912,10110,23347,113
16144,6381,23465,117
12361,26519,8347,63
18017,17589,19699,52
12280,37647,27211,58
18822,20578,2517,44
7178,18400,26013,63
30203,20761,38659,25
22093,11738,28797,46
17773,37228,31258,51
5407,21822,32393,44
38498,15858,2423,74
31517,7640,37031,55
23582,4588,8440,87
32674,15223,31138,26
5629,15039,19735,26
7769,21085,36043,76
35579,37588,24455,89
7516,21266,22271,84
37503,36001,30776,50
10738,7884,37853,62
7064,31922,4812,45
14525,33384,27467,43
9477,4784,7126,49
24497,15107,31981,41
3349,29384,10867,40
24986,6773,12842,49
15178,26765,9910,68
22061,32433,37583,56
30446,19695,9991,72
820,5724,20700,32
34236,30410,10672,49
3092,11401,32292,32
26626,28521,25016,27
24989,17254,6920,36
3900,8467,28175,91
12827,34689,21322,91
6292,18228,3445,66
5474,20676,10056,62
